input: [SCENE]: scene_context,output: [OUTCOME]: outcome_description
input: [SCENE]: You are trying to get information from a captured enemy soldier.,"output: [OUTCOME]: The soldier, who expected to be executed, is moved by your offer of mercy. They tell you everything they know in exchange for fair treatment."
input: [SCENE]: You are trying to get information from a captured enemy soldier.,"output: [OUTCOME]: The soldier is a zealot, completely devoted to their cause. They spit at your offer of mercy and refuse to say a word."
input: [SCENE]: You are trying to read a coded message.,"output: [OUTCOME]: The message is a complex mix of slang and code, but you are fluent in this language. You are able to decipher the message's hidden meaning."
input: [SCENE]: You are trying to read a coded message.,output: [OUTCOME]: This is a regional dialect of thieves' cant that you are not familiar with. You can only understand a few of the words.
input: [SCENE]: You are trying to hunt a large beast.,"output: [OUTCOME]: You rig a massive deadfall trap. When the beast passes through, the trap springs perfectly, and the heavy log slams down on it."
input: [SCENE]: You are trying to hunt a large beast.,"output: [OUTCOME]: The tripwire snaps before the trap can be fully sprung. The log falls, but it misses the beast completely."
input: [SCENE]: You are trying to identify the command word for a magic item.,"output: [OUTCOME]: You experiment with a few common command words, and one of them causes the item to hum with power. You have found the word."
input: [SCENE]: You are trying to identify the command word for a magic item.,output: [OUTCOME]: The command word is likely a unique and personal one. Your attempts to activate it with common words all fail.
input: [SCENE]: You are trying to get an audience with a reclusive noble.,output: [OUTCOME]: The seneschal is so charmed by your wit and flattery that they agree to squeeze you into the noble's busy schedule.
input: [SCENE]: You are trying to get an audience with a reclusive noble.,"output: [OUTCOME]: The seneschal is a stuffy and officious individual who is immune to your charms. They tell you to submit a formal request in writing, which will be reviewed in a few months."
input: [SCENE]: You are trying to help a farmer whose crops are failing.,"output: [OUTCOME]: You recognize the tell-tale signs of a magical blight: the plants are not just dying, they are actively decaying and corrupting the soil around them."
input: [SCENE]: You are trying to help a farmer whose crops are failing.,"output: [OUTCOME]: The crops are dying from a mundane cause, likely a lack of water or a nutrient-poor soil. There is no sign of any magical interference."
input: [SCENE]: You are trying to create a poultice to treat a wound.,output: [OUTCOME]: You find the necessary herbs and create a poultice that will help to soothe the pain and prevent infection.
input: [SCENE]: You are trying to create a poultice to treat a wound.,"output: [OUTCOME]: You are in an unfamiliar region, and you don't recognize any of the local plants. You are unable to create the poultice you need."
input: [SCENE]: You are trying to understand a prophecy.,"output: [OUTCOME]: You recognize the obscure historical references in the prophecy, which allows you to understand its true meaning."
input: [SCENE]: You are trying to understand a prophecy.,output: [OUTCOME]: The prophecy is written in a series of cryptic and confusing metaphors. You are unable to make any sense of it.
input: [SCENE]: You are trying to win a horse race.,"output: [OUTCOME]: You have a perfect sense of your horse's stamina. You urge it on at the perfect moments, and you cross the finish line just ahead of your rival."
input: [SCENE]: You are trying to win a horse race.,"output: [OUTCOME]: You push your horse too hard, too early. It runs out of steam in the final stretch and is easily overtaken."
input: [SCENE]: You are trying to convince a guard you are a noble.,output: [OUTCOME]: You carry yourself with an air of effortless authority that the guard doesn't dare to question. They bow and let you pass.
input: [SCENE]: You are trying to convince a guard you are a noble.,"output: [OUTCOME]: You may be charismatic, but you don't know the first thing about acting like a noble. The guard sees right through your act."
input: [SCENE]: You are trying to cross a room full of swinging blades and other traps.,"output: [OUTCOME]: You move with a beautiful, deadly grace, effortlessly dodging the blades and weaving through the traps as if it were a dance."
input: [SCENE]: You are trying to cross a room full of swinging blades and other traps.,"output: [OUTCOME]: You dodge the first blade, but you are not fast enough for the second. It catches your arm, leaving a deep gash."
input: [SCENE]: You are trying to create a poison that will induce a deep sleep.,output: [OUTCOME]: You create a potent but non-lethal sedative that will put a person to sleep for several hours with just a single drop.
input: [SCENE]: You are trying to create a poison that will induce a deep sleep.,output: [OUTCOME]: You get the formula wrong. The resulting potion is a weak stimulant that would have a hard time putting a cat to sleep.
input: [SCENE]: You are trying to determine if a person has been possessed.,"output: [OUTCOME]: You see the tell-tale signs: a faint sulfurous smell, an aversion to holy symbols, and a second voice whispering behind their own. They are possessed."
input: [SCENE]: You are trying to determine if a person has been possessed.,"output: [OUTCOME]: The person is clearly disturbed, but you see no signs of demonic possession. They are likely suffering from a mundane, if severe, mental illness."
"input: [SCENE]: You are in a crowded market square, and a thief has just snatched your coin purse.","output: [OUTCOME]: You subtly flick your wrist, and a patch of ground in front of the thief becomes impossibly slick. His feet go out from under him, and he tumbles to the ground, scattering the stolen coins."
"input: [SCENE]: You are in a crowded market square, and a thief has just snatched your coin purse.","output: [OUTCOME]: Your wild magic surges, creating not a small patch, but a large, messy slush puddle that trips up several innocent shoppers but completely misses the nimble thief."
"input: [SCENE]: You are trying to cross a windy mountain pass on a narrow, icy ledge.","output: [OUTCOME]: You find your center, and the howling wind and biting cold become distant sensations. You are able to cross the ledge with perfect focus and calm."
"input: [SCENE]: You are trying to cross a windy mountain pass on a narrow, icy ledge.","output: [OUTCOME]: The cold is too intense, seeping into your bones and shattering your concentration. The fear of falling floods your mind, and you are forced to crawl back to safety."
input: [SCENE]: You are trying to impress a potential patron with a new invention.,"output: [OUTCOME]: You wind up the bird, and it sings a beautiful, complex melody. The patron is delighted by the exquisite craftsmanship and agrees to fund your workshop."
input: [SCENE]: You are trying to impress a potential patron with a new invention.,"output: [OUTCOME]: A gear inside the songbird jams. Instead of a beautiful melody, it produces a series of horrible screeching and grinding noises before falling silent. The patron is unimpressed."
input: [SCENE]: You find a sword that is radiating a palpable aura of evil.,"output: [OUTCOME]: You channel the sun's righteous fire into the blade. The evil aura shrieks and dissipates, leaving a clean, masterfully crafted longsword in your hands."
input: [SCENE]: You find a sword that is radiating a palpable aura of evil.,"output: [OUTCOME]: The evil in the sword is ancient and powerful. It resists your attempt to cleanse it, and you are thrown back by a wave of necrotic energy."
input: [SCENE]: You are trying to eavesdrop on a conversation at a masquerade ball.,"output: [OUTCOME]: Their masks cover much of their faces, but you are an expert. You are able to read their lips and learn of their plot to poison the king."
input: [SCENE]: You are trying to eavesdrop on a conversation at a masquerade ball.,"output: [OUTCOME]: Their masks and the dim lighting make it impossible to read their lips clearly. You can only catch a few words, not enough to understand their conversation."
"input: [SCENE]: You are in a stuffy library, looking for a specific book.","output: [OUTCOME]: Surprisingly, your simple method works. The book of northern legends has a prominent embossed bear on its cover, and you spot it on a high shelf."
"input: [SCENE]: You are in a stuffy library, looking for a specific book.","output: [OUTCOME]: There are thousands of leather-bound books, and the library's classification system is a complete mystery to you. You are hopelessly lost in the stacks."
input: [SCENE]: You are trying to determine if a map is a forgery.,"output: [OUTCOME]: You notice the cartographer used a type of ink that was only invented 20 years ago, but the map is supposedly 200 years old. It is a definite forgery."
input: [SCENE]: You are trying to determine if a map is a forgery.,"output: [OUTCOME]: The map is either a masterful forgery or it is genuine. The cartography style, ink, and parchment are all consistent with the period it claims to be from."
input: [SCENE]: You are trying to get a group of sad children to smile.,"output: [OUTCOME]: Your juggling is clumsy, but that's what makes it funny. The children erupt in a fit of giggles, their sadness forgotten."
input: [SCENE]: You are trying to get a group of sad children to smile.,"output: [OUTCOME]: You accidentally drop one of the juggling balls, and it hits a younger child in the head, who immediately starts to cry. This has made things worse."
input: [SCENE]: You are trying to find the source of a plague in a city.,"output: [OUTCOME]: By interviewing the sick, you are able to trace the plague's origin back to a single sailor who arrived on a ship from a distant, jungle-filled land."
input: [SCENE]: You are trying to find the source of a plague in a city.,"output: [OUTCOME]: The plague spread too fast. It's impossible to determine who the first case was, which makes it much harder to understand its origin and nature."
input: [SCENE]: You are trying to make a poison to use on your arrows.,"output: [OUTCOME]: With steady hands, you carefully extract the potent venom from the spider's fangs, enough to coat a dozen arrows."
input: [SCENE]: You are trying to make a poison to use on your arrows.,"output: [OUTCOME]: You accidentally puncture the venom sac, and the sticky, toxic liquid spills onto the ground, completely wasted."
input: [SCENE]: You are trying to identify a strange constellation in the night sky.,"output: [OUTCOME]: A wave of alien knowledge fills your mind. This is the 'Chained Star,' a constellation that is only visible when the barriers between worlds are thin."
input: [SCENE]: You are trying to identify a strange constellation in the night sky.,"output: [OUTCOME]: Your patron is silent. The stars are beyond even its knowledge, or it simply doesn't care to share their secrets with you."
"input: [SCENE]: You are trying to push over a large, unstable stone pillar to create a barrier.","output: [OUTCOME]: You push the pillar at its weakest point. With a deep groan, the massive stone column topples over, creating a perfect barricade."
"input: [SCENE]: You are trying to push over a large, unstable stone pillar to create a barrier.","output: [OUTCOME]: The pillar is more stable than it looks. You slam into it, but it doesn't budge, sending a jarring pain through your shoulder."
input: [SCENE]: You are trying to convince a skeptical wizard that your innate magic is just as valid as their studied spells.,"output: [OUTCOME]: You conjure a miniature, contained thunderstorm in the palm of your hand. The wizard's academic arrogance evaporates, replaced by a healthy dose of fear and respect."
input: [SCENE]: You are trying to convince a skeptical wizard that your innate magic is just as valid as their studied spells.,"output: [OUTCOME]: Your magic surges uncontrollably, and the miniature thunderstorm explodes, singeing the wizard's eyebrows and reinforcing their belief that you are a dangerous, untrained hedge-mage."
input: [SCENE]: You are trying to endure a night of sleepless meditation to achieve a vision.,"output: [OUTCOME]: You push past the barriers of fatigue and distraction. As the sun rises, your mind is clear, and you are granted the vision you sought."
input: [SCENE]: You are trying to endure a night of sleepless meditation to achieve a vision.,"output: [OUTCOME]: Exhaustion is a powerful foe. In the darkest hour of the night, you drift off to sleep, your vigil incomplete and the vision denied."
input: [SCENE]: You are trying to determine the structural weak point of a castle wall.,output: [OUTCOME]: You notice an area where the mortar is crumbling and the stones are poorly fitted. A siege engine striking that spot would bring the wall down easily.
input: [SCENE]: You are trying to determine the structural weak point of a castle wall.,"output: [OUTCOME]: The castle was built by master craftsmen. The stonework is flawless, and you cannot find any discernible weak points in the wall."
input: [SCENE]: You are trying to learn the location of a hidden crypt from a ghost.,"output: [OUTCOME]: The ghost, weary of its long and lonely existence, agrees to help you, seeing you as its only hope for finding peace."
input: [SCENE]: You are trying to learn the location of a hidden crypt from a ghost.,"output: [OUTCOME]: The ghost is too consumed by its own sorrow to trust you. It just weeps and fades through the wall, leaving you with no answers."
input: [SCENE]: You are trying to determine if a floor is trapped without triggering it.,"output: [OUTCOME]: The water pools and then drains into a nearly invisible seam around one of the tiles, revealing the outline of a pressure plate."
input: [SCENE]: You are trying to determine if a floor is trapped without triggering it.,"output: [OUTCOME]: The floor is perfectly level and seamless. The water just forms a puddle, giving you no clues as to any potential traps."
input: [SCENE]: You are trying to intimidate a wolf into backing down.,"output: [OUTCOME]: The wolf meets your gaze, sees the iron will of a superior predator, and backs down, slinking away into the woods."
input: [SCENE]: You are trying to intimidate a wolf into backing down.,"output: [OUTCOME]: Your lack of fear is seen not as dominance, but as a challenge. The wolf lowers its head and growls, preparing to attack."
input: [SCENE]: You are trying to perfectly replicate a complex magical rune.,"output: [OUTCOME]: Your hand is as steady as a rock. You perfectly replicate every curve and line of the complex rune, and it begins to glow with power."
input: [SCENE]: You are trying to perfectly replicate a complex magical rune.,"output: [OUTCOME]: Your hand trembles slightly, and one of the lines in your copy is just a fraction of an inch off. The rune remains inert, a powerless doodle."
input: [SCENE]: You are trying to convince a dragon to let you take a single coin from its hoard.,"output: [OUTCOME]: The dragon is so charmed and flattered by your song that it laughs, a sound like an avalanche, and agrees to your request, seeing it as a grand jest."
input: [SCENE]: You are trying to convince a dragon to let you take a single coin from its hoard.,output: [OUTCOME]: The dragon is not a creature of whimsy. It sees your song as an insult to the perfection of its hoard and unleashes a warning blast of fire over your head.
input: [SCENE]: You are trying to determine if a person's wound was caused by a cursed weapon.,"output: [OUTCOME]: You see that the flesh around the wound is unnaturally black and cold, and it resists your healing magic. This was definitely caused by a cursed weapon."
input: [SCENE]: You are trying to determine if a person's wound was caused by a cursed weapon.,"output: [OUTCOME]: It is a grievous wound, but it seems to be a perfectly natural one. There is no sign of any dark magic at play."
input: [SCENE]: You are trying to find your way out of a cave system.,"output: [OUTCOME]: You notice a faint breeze and the way the rocks are eroded, signs that point to a nearby opening to the surface. You find your way out."
input: [SCENE]: You are trying to find your way out of a cave system.,"output: [OUTCOME]: The cave system is a bewildering, unnatural maze. Your natural instincts are useless here, and you wander for hours, completely lost."
input: [SCENE]: You are trying to open a lock that is sealed by a riddle.,"output: [OUTCOME]: A whisper of forbidden knowledge enters your mind, giving you the answer to the ancient riddle. The lock clicks open."
input: [SCENE]: You are trying to open a lock that is sealed by a riddle.,"output: [OUTCOME]: Your patron's mind does not work in riddles and logic. The answer it gives you is a confusing, non-sequitur that is of no help at all."
input: [SCENE]: You are trying to convince your fellow knights to follow a risky plan.,"output: [OUTCOME]: Your unwavering conviction and the logic of your plan win them over. They agree to follow you, despite the risks."
input: [SCENE]: You are trying to convince your fellow knights to follow a risky plan.,output: [OUTCOME]: Your fellow knights are too cautious. They believe your plan is reckless and will lead to a needless loss of life. They refuse to follow you.
input: [SCENE]: You are falling from a great height.,"output: [OUTCOME]: You instinctively shape the air beneath you, creating a powerful updraft that slows your fall to a gentle drift, allowing you to land safely."
input: [SCENE]: You are trying to fall from a great height.,"output: [OUTCOME]: Your control slips, and instead of an updraft, you create a chaotic blast of wind that sends you tumbling through the air, completely out of control."
input: [SCENE]: You are trying to run across a thin layer of snow without leaving tracks.,"output: [OUTCOME]: Your movements are so light that you barely disturb the snow. You cross the field, leaving no trace of your passage."
input: [SCENE]: You are trying to run across a thin layer of snow without leaving tracks.,"output: [OUTCOME]: The snow is too soft and deep. Even with your incredible discipline, you leave a clear set of tracks behind you."
input: [SCENE]: You are trying to create a device that will translate any language.,"output: [OUTCOME]: The device whirs to life! When you hold it to your ear, the foreign language you hear is instantly translated into words you can understand."
input: [SCENE]: You are trying to create a device that will translate any language.,"output: [OUTCOME]: You make a mistake in the enchanting process. The device translates everything, but it's always into the wrong language, making it completely useless."
input: [SCENE]: You are facing a creature of pure evil.,"output: [OUTCOME]: You hold up your holy symbol, and it blazes with a light the creature cannot bear. It shrieks and recoils, its evil nature momentarily cowed by your divine authority."
input: [SCENE]: You are facing a creature of pure evil.,"output: [OUTCOME]: The creature is ancient and powerful, and it is not impressed by what it calls the 'false light' of your god. Your attempt to intimidate it only makes it angrier."
input: [SCENE]: You are trying to determine which of three identical goblets contains the antidote.,"output: [OUTCOME]: You notice that one of the goblets has a tiny, almost invisible scratch on its base, likely a mark left by the person who placed the antidote."
input: [SCENE]: You are trying to determine which of three identical goblets contains the antidote.,"output: [OUTCOME]: The goblets are perfectly identical in every way. There are no marks, no temperature differences, nothing to distinguish one from another."
input: [SCENE]: You are trying to hunt for food in a barren tundra.,output: [OUTCOME]: You recognize the subtle signs of a burrow hidden beneath a snowdrift. You dig down and are able to catch a rabbit for your dinner.
input: [SCENE]: You are trying to hunt for food in a barren tundra.,"output: [OUTCOME]: The tundra is a vast, empty expanse of snow. You search for hours but find no signs of any animal life."
input: [SCENE]: You are trying to create a flawless illusion to distract a guard.,"output: [OUTCOME]: Your illusion is perfect, down to the last detail of the officer's uniform and the stern expression on their face. The guard is completely fooled."
input: [SCENE]: You are trying to create a flawless illusion to distract a guard.,output: [OUTCOME]: You get a small detail wrong—the insignia on the officer's uniform is from the wrong regiment. The guard immediately recognizes it as a fake and sounds the alarm.
input: [SCENE]: You are trying to convince a group of dwarves to sing a song with you.,"output: [OUTCOME]: The dwarves' eyes light up when they hear the familiar tune. They join in with gusto, their deep voices echoing in the tavern."
input: [SCENE]: You are trying to convince a group of dwarves to sing a song with you.,"output: [OUTCOME]: You play the song with technical skill, but you lack the heart. The dwarves just stare at you, unimpressed by your 'flowery elven interpretation' of their song."
input: [SCENE]: You are trying to recall the holy symbol of a forgotten god.,output: [OUTCOME]: The image comes to you: a silver sun with a weeping eye at its center. It is the symbol of a long-dead god of sorrowful endings.
input: [SCENE]: You are trying to recall the holy symbol of a forgotten god.,"output: [OUTCOME]: There are thousands of dead gods, and their symbols are a confusing jumble in your memory. You cannot recall this specific one."
input: [SCENE]: You are trying to camouflage yourself in a swamp.,output: [OUTCOME]: You become one with the swamp. You are so well hidden that a giant snake slithers right past you without noticing your presence.
input: [SCENE]: You are trying to camouflage yourself in a swamp.,"output: [OUTCOME]: Your camouflage is good, but not good enough. A keen-eyed predator spots your movement and begins to stalk you."
input: [SCENE]: You are trying to intimidate a ghost into giving you information.,"output: [OUTCOME]: The ghost sees the maddening, alien form of your patron in its mind's eye. It becomes terrified and immediately tells you everything it knows."
input: [SCENE]: You are trying to intimidate a ghost into giving you information.,"output: [OUTCOME]: The ghost is already a creature of terror and despair. It is not impressed by your patron and simply fades away, refusing to speak with you."
input: [SCENE]: You are trying to determine if a building is structurally sound after an earthquake.,"output: [OUTCOME]: You see a series of deep, spiderweb cracks in the foundation and notice the whole building is leaning slightly to one side. It is not safe and could collapse at any moment."
input: [SCENE]: You are trying to determine if a building is structurally sound after an earthquake.,"output: [OUTCOME]: The building seems to have weathered the earthquake remarkably well. You see a few plaster cracks, but the foundation and main structure appear to be completely sound."
input: [SCENE]: You are trying to convince a fire elemental to not burn down a forest.,"output: [OUTCOME]: You speak to the elemental not in words, but in feelings of heat and light. The elemental, recognizing you as a kindred spirit, agrees to quell its flames and return to its home plane."
input: [SCENE]: You are trying to convince a fire elemental to not burn down a forest.,output: [OUTCOME]: Your attempts to communicate with the elemental are clumsy. It misinterprets your magical 'words' as a challenge and becomes even more enraged and destructive.
input: [SCENE]: You are trying to perfectly balance a series of stones on top of each other.,"output: [OUTCOME]: Your focus is absolute. You are able to find the center of gravity for each stone, creating an impossible, beautiful tower of perfectly balanced rocks."
input: [SCENE]: You are trying to perfectly balance a series of stones on top of each other.,"output: [OUTCOME]: A slight tremor in your hand, or perhaps a gust of wind, is enough to upset the delicate balance. The tower of stones comes crashing down."
input: [SCENE]: You are trying to create a magical lantern that can reveal invisible objects.,"output: [OUTCOME]: You create a 'Lens of True Sight.' When you light the lantern, its beam reveals the shimmering outlines of invisible objects and creatures."
input: [SCENE]: You are trying to create a magical lantern that can reveal invisible objects.,"output: [OUTCOME]: You grind the crystal incorrectly, and it fails to focus the magic properly. The result is just a normal lantern that gives off a faint, purple light."
input: [SCENE]: You are trying to determine if a person is lying about their faith.,"output: [OUTCOME]: The person claims to be a faithful follower of the Sun God, but your divine sense tells you their soul is cold and dark. They are lying."
input: [SCENE]: You are trying to determine if a person is lying about their faith.,"output: [OUTCOME]: The person seems to be a genuine and devout follower. If they are lying, their faith in their own deception is strong enough to fool your divine sense."
input: [SCENE]: You are in a magical forge powered by a captive fire elemental.,"output: [OUTCOME]: The elemental, sensing your innate connection to its element, agrees. It will imbue one item with fire for you if you break its bonds."
input: [SCENE]: You are in a magical forge powered by a captive fire elemental.,"output: [OUTCOME]: The elemental is too enraged by its captivity to listen. It lashes out with fiery tendrils, seeing you as just another captor."
input: [SCENE]: You are in a library where all the books are chained to the shelves.,output: [OUTCOME]: Your focus is absolute. You are able to read and memorize the entire page from ten feet away before the librarian notices.
input: [SCENE]: You are in a library where all the books are chained to the shelves.,output: [OUTCOME]: The text is too small and the lighting is too poor. You are unable to make out the words from such a distance.
input: [SCENE]: You are trying to cross a bridge guarded by a sphinx with a riddle.,"output: [OUTCOME]: You point out that the riddle is based on a false premise and is thus unsolvable. The sphinx, impressed by your logic rather than a correct answer, allows you to pass."
input: [SCENE]: You are trying to cross a bridge guarded by a sphinx with a riddle.,"output: [OUTCOME]: The riddle is magical in nature and does not adhere to mundane logic. Your attempts to deconstruct it are meaningless, and the sphinx looks bored."
"input: [SCENE]: You have found the phylactery of a lich, but it is protected by a holy aura.","output: [OUTCOME]: You channel your pure, righteous faith, and it acts as a key, bypassing the corrupted holy defenses and allowing you to strike the phylactery."
"input: [SCENE]: You have found the phylactery of a lich, but it is protected by a holy aura.","output: [OUTCOME]: The lich was a cleric in its former life, and its holy aura is a twisted mockery of your own faith. The two forces cancel each other out, and the phylactery remains protected."
input: [SCENE]: You are interrogating a smuggler who might know about the dagger's location.,"output: [OUTCOME]: The smuggler's eyes go wide with fear and anger. In his panicked denial, he lets slip a key detail about a recent shipment to a hidden cove."
input: [SCENE]: You are interrogating a smuggler who might know about the dagger's location.,"output: [OUTCOME]: The smuggler just laughs. 'Oldest trick in the book,' he says. 'You'll have to do better than that to get anything from me.'"
"input: [SCENE]: You are in a 'civilized' city, and your axe is taken for 'peace-bonding'.","output: [OUTCOME]: You feel naked without your axe, but you control your anxiety. You recognize that your hands and your wits can be weapons too, and you proceed with caution."
"input: [SCENE]: You are in a 'civilized' city, and your axe is taken for 'peace-bonding'.","output: [OUTCOME]: The lack of your axe makes you feel intensely vulnerable and angry. You are agitated and overly aggressive to everyone you meet, drawing unwanted attention."
"input: [SCENE]: You are trying to learn a spell from a book written in an ancient, forgotten language.","output: [OUTCOME]: Though you don't understand the words, your innate understanding of magic allows you to shape the spell correctly. It works, though you're not sure how."
"input: [SCENE]: You are trying to learn a spell from a book written in an ancient, forgotten language.","output: [OUTCOME]: Your mispronunciation of a single syllable has disastrous results. The spell backfires, engulfing you in a cloud of harmless, slimy, green goo."
input: [SCENE]: You are in a silent monastery where speaking is forbidden.,"output: [OUTCOME]: You play a beautiful, evocative piece of music that tells a clear story of love, loss, and hope. The silent monks are moved to tears."
input: [SCENE]: You are in a silent monastery where speaking is forbidden.,"output: [OUTCOME]: Your music is pleasant, but without words, it is just a series of nice sounds. The intended story is completely lost on the monks."
input: [SCENE]: You are trying to gain the trust of a group of feral children living in the sewers.,"output: [OUTCOME]: The children are wary, but the genuine kindness in your eyes and the offer of food is enough to win them over. They cautiously approach you."
input: [SCENE]: You are trying to gain the trust of a group of feral children living in the sewers.,"output: [OUTCOME]: The children have learned that nothing is free. They see your offer as a trap, snatch the bread, and then disappear back into the darkness."
input: [SCENE]: You are in a cavern filled with sound-dampening moss.,output: [OUTCOME]: You carefully scrape a large amount of the moss into your pouch. Wrapping it around your boots should make you almost completely silent.
input: [SCENE]: You are in a cavern filled with sound-dampening moss.,"output: [OUTCOME]: The moss is unexpectedly tough. Your knife makes a loud scraping sound against the stone wall, a noise that is doubly loud in the otherwise silent cavern."
input: [SCENE]: You are in a hall of mirrors that show you terrible visions of the future.,output: [OUTCOME]: You ignore the horrifying visions and focus on the reflections themselves. You notice one mirror that shows you exactly as you are. That is the exit.
input: [SCENE]: You are in a hall of mirrors that show you terrible visions of the future.,"output: [OUTCOME]: Every mirror shows a different, equally horrifying vision. You are unable to tell which are illusions and which might be the real future, leaving you lost and terrified."
input: [SCENE]: You are at a feast and suspect the wine is poisoned.,output: [OUTCOME]: You dip your dagger into the wine when no one is looking. A dark tarnish immediately appears on the silver. The wine is definitely poisoned.
input: [SCENE]: You are at a feast and suspect the wine is poisoned.,"output: [OUTCOME]: As you dip your dagger into the wine, a nearby noble notices the action. 'What are you doing?' they ask loudly, drawing the attention of the entire table."
input: [SCENE]: You are trying to put out a campfire without using water.,"output: [OUTCOME]: You pull the heat from the flames, and the fire dies with a soft hiss, leaving behind a pile of cold, unburnt wood."
input: [SCENE]: You are trying to put out a campfire without using water.,"output: [OUTCOME]: Your control slips, and you accidentally fuel the fire with a surge of elemental energy. The campfire erupts into a massive bonfire."
input: [SCENE]: You are trying to win a game of chess against a master strategist.,"output: [OUTCOME]: You notice a slight tensing in his jaw when he is about to make an aggressive move, which allows you to prepare a counter-attack. You win the game."
input: [SCENE]: You are trying to win a game of chess against a master strategist.,"output: [OUTCOME]: The strategist is completely unreadable, a perfect stone mask. You can get no clues from his demeanor and are easily outmaneuvered."
input: [SCENE]: You are trying to determine what a strange liquid is.,"output: [OUTCOME]: After a series of tests, you determine the liquid is a very rare form of magical coolant, often used in the construction of high-powered magical constructs."
input: [SCENE]: You are trying to determine what a strange liquid is.,"output: [OUTCOME]: The liquid is completely inert and reacts to none of your tests. Its composition is a total mystery, though it does taste faintly of lemon."
input: [SCENE]: You are trying to convince a ghost to move on to the afterlife.,"output: [OUTCOME]: The ghost, which was tied to this world by a sense of duty, finally understands that its work is done. It gives you a grateful nod and fades away into a peaceful light."
input: [SCENE]: You are trying to convince a ghost to move on to the afterlife.,"output: [OUTCOME]: The ghost is bound by a powerful curse, not a sense of duty. Your words of peace mean nothing to it, and it remains trapped in this world."
input: [SCENE]: You are trying to climb a rope that is covered in slippery grease.,"output: [OUTCOME]: Instead of using your hands, you expertly brace your feet against the wall and your back against the rope, shimmying up without needing to grip it."
input: [SCENE]: You are trying to climb a rope that is covered in slippery grease.,"output: [OUTCOME]: The grease is too thick. Every time you try to get a grip, your hands and feet just slide off, and you are unable to climb."
input: [SCENE]: You are trying to win a 'battle of the bands' with your war drum.,"output: [OUTCOME]: The thunderous, hypnotic beat of your drum captivates the audience. They are filled with a primal energy and declare you the winner by acclamation."
input: [SCENE]: You are trying to win a 'battle of the bands' with your war drum.,"output: [OUTCOME]: You have a powerful rhythm, but no sense of melody or showmanship. The crowd is briefly interested but is ultimately won over by a lute player with more flair."
input: [SCENE]: You are trying to determine if a powerful archmage is still alive.,"output: [OUTCOME]: Your scrying is successful. You see a brief image of the archmage, old and withered, sitting on a throne of black ice in a frozen wasteland."
input: [SCENE]: You are trying to determine if a powerful archmage is still alive.,"output: [OUTCOME]: Your spell is immediately blocked by a powerful anti-scrying ward. You not only fail to find the archmage, but you are certain he is now aware of your attempt."
input: [SCENE]: You are trying to deliver a coded insult that only your target will understand.,"output: [OUTCOME]: You deliver a toast that sounds like high praise to everyone else, but your target recognizes the subtle insult and their face flushes with anger."
input: [SCENE]: You are trying to deliver a coded insult that only your target will understand.,"output: [OUTCOME]: Your insult is too subtle. Your target takes it as a genuine compliment, and the person you were trying to impress with your wit is just confused."
input: [SCENE]: You are trying to determine which of two identical twins is a vampire.,"output: [OUTCOME]: You focus your senses and can feel a cold, dead aura emanating from the twin on the right. That is the creature of the night."
input: [SCENE]: You are trying to determine which of two identical twins is a vampire.,"output: [OUTCOME]: The vampire is using a powerful magical amulet to mask its undead nature. Both twins feel like living, breathing mortals to your divine sense."
input: [SCENE]: You are trying to shoot an apple off someone's head.,"output: [OUTCOME]: You account for the wind, take a steadying breath, and release. The arrow flies true, splitting the apple perfectly in half without harming the person."
input: [SCENE]: You are trying to shoot an apple off someone's head.,"output: [OUTCOME]: Your nerve breaks at the last second, and you pull the shot just a hair. The arrow misses the apple and the person completely, thudding into the tree behind them."
input: [SCENE]: You are trying to understand a creature that communicates through changing colors.,output: [OUTCOME]: You realize the creature is using a complex color-based grammar. You are able to decipher its basic meaning and communicate with it.
input: [SCENE]: You are trying to understand a creature that communicates through changing colors.,"output: [OUTCOME]: The colors shift in a chaotic, mesmerizing pattern that seems to have no logic or meaning. You are unable to communicate with the creature."
input: [SCENE]: You are trying to find a secret passage in a castle.,output: [OUTCOME]: You recall reading that the castle's architect was famous for including secret passages. You remember a detail about a passage behind a specific tapestry in the main hall.
input: [SCENE]: You are trying to find a secret passage in a castle.,"output: [OUTCOME]: You have studied many famous castles, but you have no specific knowledge of this one. You don't know where any secret passages might be."
input: [SCENE]: You are trying to charm a hostile guard captain.,"output: [OUTCOME]: The guard captain, who was initially hostile, suddenly finds you to be a very reasonable and trustworthy person. They agree to your request."
input: [SCENE]: You are trying to charm a hostile guard captain.,"output: [OUTCOME]: The guard captain is a highly disciplined veteran with a strong will. They recognize your attempt at magical manipulation and become even more hostile, drawing their weapon."
input: [SCENE]: You are trying to snatch a key from a hook on the far side of a room without touching the floor.,"output: [OUTCOME]: You run along one wall, leap to the other, snatch the key, and land back where you started, all without touching the trapped floor."
input: [SCENE]: You are trying to run across a room without touching the floor to get a key.,"output: [OUTCOME]: You manage to run along the first wall, but your leap to the second wall falls short. You land heavily on the trapped floor, triggering a loud alarm."
input: [SCENE]: You are trying to build a makeshift raft.,"output: [OUTCOME]: You are able to lash the logs together in a way that creates a stable, buoyant platform capable of carrying you and your companions safely across the river."
input: [SCENE]: You are trying to build a makeshift raft.,output: [OUTCOME]: Your design is too ambitious for the materials at hand. The raft is unstable and begins to come apart as soon as you put it in the water.
