input: [CHECK]: check_required[PASS/FAIL]: outcome_type,output: [OUTCOME]: outcome_description
input: [CHECK]: Stonemasonry Tools[PASS/FAIL]: Pass,output: [OUTCOME]: You notice an area where the mortar is crumbling and the stones are poorly fitted. A siege engine striking that spot would bring the wall down easily.
input: [CHECK]: Stonemasonry Tools[PASS/FAIL]: Fail,"output: [OUTCOME]: The castle was built by master craftsmen. The stonework is flawless, and you cannot find any discernible weak points in the wall."
input: [CHECK]: Persuasion[PASS/FAIL]: Pass,"output: [OUTCOME]: The ghost, weary of its long and lonely existence, agrees to help you, seeing you as its only hope for finding peace."
input: [CHECK]: Persuasion[PASS/FAIL]: Fail,"output: [OUTCOME]: The ghost is too consumed by its own sorrow to trust you. It just weeps and fades through the wall, leaving you with no answers."
input: [CHECK]: Investigation[PASS/FAIL]: Pass,"output: [OUTCOME]: The water pools and then drains into a nearly invisible seam around one of the tiles, revealing the outline of a pressure plate."
input: [CHECK]: Investigation[PASS/FAIL]: Fail,"output: [OUTCOME]: The floor is perfectly level and seamless. The water just forms a puddle, giving you no clues as to any potential traps."
input: [CHECK]: Animal Handling[PASS/FAIL]: Pass,"output: [OUTCOME]: The wolf meets your gaze, sees the iron will of a superior predator, and backs down, slinking away into the woods."
input: [CHECK]: Animal Handling[PASS/FAIL]: Fail,"output: [OUTCOME]: Your lack of fear is seen not as dominance, but as a challenge. The wolf lowers its head and growls, preparing to attack."
input: [CHECK]: Sleight of Hand[PASS/FAIL]: Pass,"output: [OUTCOME]: Your hand is as steady as a rock. You perfectly replicate every curve and line of the complex rune, and it begins to glow with power."
input: [CHECK]: Sleight of Hand[PASS/FAIL]: Fail,"output: [OUTCOME]: Your hand trembles slightly, and one of the lines in your copy is just a fraction of an inch off. The rune remains inert, a powerless doodle."
input: [CHECK]: Performance[PASS/FAIL]: Pass,"output: [OUTCOME]: The dragon is so charmed and flattered by your song that it laughs, a sound like an avalanche, and agrees to your request, seeing it as a grand jest."
input: [CHECK]: Performance[PASS/FAIL]: Fail,output: [OUTCOME]: The dragon is not a creature of whimsy. It sees your song as an insult to the perfection of its hoard and unleashes a warning blast of fire over your head.
input: [CHECK]: Medicine[PASS/FAIL]: Pass,"output: [OUTCOME]: You see that the flesh around the wound is unnaturally black and cold, and it resists your healing magic. This was definitely caused by a cursed weapon."
input: [CHECK]: Medicine[PASS/FAIL]: Fail,"output: [OUTCOME]: It is a grievous wound, but it seems to be a perfectly natural one. There is no sign of any dark magic at play."
input: [CHECK]: Survival[PASS/FAIL]: Pass,"output: [OUTCOME]: You notice a faint breeze and the way the rocks are eroded, signs that point to a nearby opening to the surface. You find your way out."
input: [CHECK]: Survival[PASS/FAIL]: Fail,"output: [OUTCOME]: The cave system is a bewildering, unnatural maze. Your natural instincts are useless here, and you wander for hours, completely lost."
input: [CHECK]: Intelligence[PASS/FAIL]: Pass,"output: [OUTCOME]: A whisper of forbidden knowledge enters your mind, giving you the answer to the ancient riddle. The lock clicks open."
input: [CHECK]: Intelligence[PASS/FAIL]: Fail,"output: [OUTCOME]: Your patron's mind does not work in riddles and logic. The answer it gives you is a confusing, non-sequitur that is of no help at all."
input: [CHECK]: Persuasion[PASS/FAIL]: Pass,"output: [OUTCOME]: Your unwavering conviction and the logic of your plan win them over. They agree to follow you, despite the risks."
input: [CHECK]: Persuasion[PASS/FAIL]: Fail,output: [OUTCOME]: Your fellow knights are too cautious. They believe your plan is reckless and will lead to a needless loss of life. They refuse to follow you.
input: [CHECK]: Acrobatics[PASS/FAIL]: Pass,"output: [OUTCOME]: You instinctively shape the air beneath you, creating a powerful updraft that slows your fall to a gentle drift, allowing you to land safely."
input: [CHECK]: Acrobatics[PASS/FAIL]: Fail,"output: [OUTCOME]: Your control slips, and instead of an updraft, you create a chaotic blast of wind that sends you tumbling through the air, completely out of control."
input: [CHECK]: Stealth[PASS/FAIL]: Pass,"output: [OUTCOME]: Your movements are so light that you barely disturb the snow. You cross the field, leaving no trace of your passage."
input: [CHECK]: Stealth[PASS/FAIL]: Fail,"output: [OUTCOME]: The snow is too soft and deep. Even with your incredible discipline, you leave a clear set of tracks behind you."
input: [CHECK]: Arcana[PASS/FAIL]: Pass,"output: [OUTCOME]: The device whirs to life! When you hold it to your ear, the foreign language you hear is instantly translated into words you can understand."
input: [CHECK]: Arcana[PASS/FAIL]: Fail,"output: [OUTCOME]: You make a mistake in the enchanting process. The device translates everything, but it's always into the wrong language, making it completely useless."
input: [CHECK]: Intimidation[PASS/FAIL]: Pass,"output: [OUTCOME]: You hold up your holy symbol, and it blazes with a light the creature cannot bear. It shrieks and recoils, its evil nature momentarily cowed by your divine authority."
input: [CHECK]: Intimidation[PASS/FAIL]: Fail,"output: [OUTCOME]: The creature is ancient and powerful, and it is not impressed by what it calls the 'false light' of your god. Your attempt to intimidate it only makes it angrier."
input: [CHECK]: Investigation[PASS/FAIL]: Pass,"output: [OUTCOME]: You notice that one of the goblets has a tiny, almost invisible scratch on its base, likely a mark left by the person who placed the antidote."
input: [CHECK]: Investigation[PASS/FAIL]: Fail,"output: [OUTCOME]: The goblets are perfectly identical in every way. There are no marks, no temperature differences, nothing to distinguish one from another."
input: [CHECK]: Survival[PASS/FAIL]: Pass,output: [OUTCOME]: You recognize the subtle signs of a burrow hidden beneath a snowdrift. You dig down and are able to catch a rabbit for your dinner.
input: [CHECK]: Survival[PASS/FAIL]: Fail,"output: [OUTCOME]: The tundra is a vast, empty expanse of snow. You search for hours but find no signs of any animal life."
input: [CHECK]: Deception[PASS/FAIL]: Pass,"output: [OUTCOME]: Your illusion is perfect, down to the last detail of the officer's uniform and the stern expression on their face. The guard is completely fooled."
input: [CHECK]: Deception[PASS/FAIL]: Fail,output: [OUTCOME]: You get a small detail wrong—the insignia on the officer's uniform is from the wrong regiment. The guard immediately recognizes it as a fake and sounds the alarm.
input: [CHECK]: Performance[PASS/FAIL]: Pass,"output: [OUTCOME]: The dwarves' eyes light up when they hear the familiar tune. They join in with gusto, their deep voices echoing in the tavern."
input: [CHECK]: Performance[PASS/FAIL]: Fail,"output: [OUTCOME]: You play the song with technical skill, but you lack the heart. The dwarves just stare at you, unimpressed by your 'flowery elven interpretation' of their song."
input: [CHECK]: History[PASS/FAIL]: Pass,output: [OUTCOME]: The image comes to you: a silver sun with a weeping eye at its center. It is the symbol of a long-dead god of sorrowful endings.
input: [CHECK]: History[PASS/FAIL]: Fail,"output: [OUTCOME]: There are thousands of dead gods, and their symbols are a confusing jumble in your memory. You cannot recall this specific one."
input: [CHECK]: Stealth[PASS/FAIL]: Pass,output: [OUTCOME]: You become one with the swamp. You are so well hidden that a giant snake slithers right past you without noticing your presence.
input: [CHECK]: Stealth[PASS/FAIL]: Fail,"output: [OUTCOME]: Your camouflage is good, but not good enough. A keen-eyed predator spots your movement and begins to stalk you."
input: [CHECK]: Intimidation[PASS/FAIL]: Pass,"output: [OUTCOME]: The ghost sees the maddening, alien form of your patron in its mind's eye. It becomes terrified and immediately tells you everything it knows."
input: [CHECK]: Intimidation[PASS/FAIL]: Fail,"output: [OUTCOME]: The ghost is already a creature of terror and despair. It is not impressed by your patron and simply fades away, refusing to speak with you."
input: [CHECK]: Investigation[PASS/FAIL]: Pass,"output: [OUTCOME]: You see a series of deep, spiderweb cracks in the foundation and notice the whole building is leaning slightly to one side. It is not safe and could collapse at any moment."
input: [CHECK]: Investigation[PASS/FAIL]: Fail,"output: [OUTCOME]: The building seems to have weathered the earthquake remarkably well. You see a few plaster cracks, but the foundation and main structure appear to be completely sound."
input: [CHECK]: Persuasion[PASS/FAIL]: Pass,"output: [OUTCOME]: You speak to the elemental not in words, but in feelings of heat and light. The elemental, recognizing you as a kindred spirit, agrees to quell its flames and return to its home plane."
input: [CHECK]: Persuasion[PASS/FAIL]: Fail,output: [OUTCOME]: Your attempts to communicate with the elemental are clumsy. It misinterprets your magical 'words' as a challenge and becomes even more enraged and destructive.
input: [CHECK]: Sleight of Hand[PASS/FAIL]: Pass,"output: [OUTCOME]: Your focus is absolute. You are able to find the center of gravity for each stone, creating an impossible, beautiful tower of perfectly balanced rocks."
input: [CHECK]: Sleight of Hand[PASS/FAIL]: Fail,"output: [OUTCOME]: A slight tremor in your hand, or perhaps a gust of wind, is enough to upset the delicate balance. The tower of stones comes crashing down."
input: [CHECK]: Arcana[PASS/FAIL]: Pass,"output: [OUTCOME]: You create a 'Lens of True Sight.' When you light the lantern, its beam reveals the shimmering outlines of invisible objects and creatures."
input: [CHECK]: Arcana[PASS/FAIL]: Fail,"output: [OUTCOME]: You grind the crystal incorrectly, and it fails to focus the magic properly. The result is just a normal lantern that gives off a faint, purple light."
input: [CHECK]: Insight[PASS/FAIL]: Pass,"output: [OUTCOME]: The person claims to be a faithful follower of the Sun God, but your divine sense tells you their soul is cold and dark. They are lying."
input: [CHECK]: Insight[PASS/FAIL]: Fail,"output: [OUTCOME]: The person seems to be a genuine and devout follower. If they are lying, their faith in their own deception is strong enough to fool your divine sense."
input: [CHECK]: Persuasion[PASS/FAIL]: Pass,"output: [OUTCOME]: The elemental, sensing your innate connection to its element, agrees. It will imbue one item with fire for you if you break its bonds."
input: [CHECK]: Persuasion[PASS/FAIL]: Fail,"output: [OUTCOME]: The elemental is too enraged by its captivity to listen. It lashes out with fiery tendrils, seeing you as just another captor."
input: [CHECK]: Investigation[PASS/FAIL]: Pass,output: [OUTCOME]: Your focus is absolute. You are able to read and memorize the entire page from ten feet away before the librarian notices.
input: [CHECK]: Investigation[PASS/FAIL]: Fail,output: [OUTCOME]: The text is too small and the lighting is too poor. You are unable to make out the words from such a distance.
input: [CHECK]: Intelligence[PASS/FAIL]: Pass,"output: [OUTCOME]: You point out that the riddle is based on a false premise and is thus unsolvable. The sphinx, impressed by your logic rather than a correct answer, allows you to pass."
input: [CHECK]: Intelligence[PASS/FAIL]: Fail,"output: [OUTCOME]: The riddle is magical in nature and does not adhere to mundane logic. Your attempts to deconstruct it are meaningless, and the sphinx looks bored."
input: [CHECK]: Religion[PASS/FAIL]: Pass,"output: [OUTCOME]: You channel your pure, righteous faith, and it acts as a key, bypassing the corrupted holy defenses and allowing you to strike the phylactery."
input: [CHECK]: Religion[PASS/FAIL]: Fail,"output: [OUTCOME]: The lich was a cleric in its former life, and its holy aura is a twisted mockery of your own faith. The two forces cancel each other out, and the phylactery remains protected."
input: [CHECK]: Deception[PASS/FAIL]: Pass,"output: [OUTCOME]: The smuggler's eyes go wide with fear and anger. In his panicked denial, he lets slip a key detail about a recent shipment to a hidden cove."
input: [CHECK]: Deception[PASS/FAIL]: Fail,"output: [OUTCOME]: The smuggler just laughs. 'Oldest trick in the book,' he says. 'You'll have to do better than that to get anything from me.'"
input: [CHECK]: Wisdom[PASS/FAIL]: Pass,"output: [OUTCOME]: You feel naked without your axe, but you control your anxiety. You recognize that your hands and your wits can be weapons too, and you proceed with caution."
input: [CHECK]: Wisdom[PASS/FAIL]: Fail,"output: [OUTCOME]: The lack of your axe makes you feel intensely vulnerable and angry. You are agitated and overly aggressive to everyone you meet, drawing unwanted attention."
input: [CHECK]: Arcana[PASS/FAIL]: Pass,"output: [OUTCOME]: Though you don't understand the words, your innate understanding of magic allows you to shape the spell correctly. It works, though you're not sure how."
input: [CHECK]: Arcana[PASS/FAIL]: Fail,"output: [OUTCOME]: Your mispronunciation of a single syllable has disastrous results. The spell backfires, engulfing you in a cloud of harmless, slimy, green goo."
input: [CHECK]: Performance[PASS/FAIL]: Pass,"output: [OUTCOME]: You play a beautiful, evocative piece of music that tells a clear story of love, loss, and hope. The silent monks are moved to tears."
input: [CHECK]: Performance[PASS/FAIL]: Fail,"output: [OUTCOME]: Your music is pleasant, but without words, it is just a series of nice sounds. The intended story is completely lost on the monks."
input: [CHECK]: Persuasion[PASS/FAIL]: Pass,"output: [OUTCOME]: The children are wary, but the genuine kindness in your eyes and the offer of food is enough to win them over. They cautiously approach you."
input: [CHECK]: Persuasion[PASS/FAIL]: Fail,"output: [OUTCOME]: The children have learned that nothing is free. They see your offer as a trap, snatch the bread, and then disappear back into the darkness."
input: [CHECK]: Stealth[PASS/FAIL]: Pass,output: [OUTCOME]: You carefully scrape a large amount of the moss into your pouch. Wrapping it around your boots should make you almost completely silent.
input: [CHECK]: Stealth[PASS/FAIL]: Fail,"output: [OUTCOME]: The moss is unexpectedly tough. Your knife makes a loud scraping sound against the stone wall, a noise that is doubly loud in the otherwise silent cavern."
input: [CHECK]: Investigation[PASS/FAIL]: Pass,output: [OUTCOME]: You ignore the horrifying visions and focus on the reflections themselves. You notice one mirror that shows you exactly as you are. That is the exit.
input: [CHECK]: Investigation[PASS/FAIL]: Fail,"output: [OUTCOME]: Every mirror shows a different, equally horrifying vision. You are unable to tell which are illusions and which might be the real future, leaving you lost and terrified."
input: [CHECK]: Sleight of Hand[PASS/FAIL]: Pass,output: [OUTCOME]: You dip your dagger into the wine when no one is looking. A dark tarnish immediately appears on the silver. The wine is definitely poisoned.
input: [CHECK]: Sleight of Hand[PASS/FAIL]: Fail,"output: [OUTCOME]: As you dip your dagger into the wine, a nearby noble notices the action. 'What are you doing?' they ask loudly, drawing the attention of the entire table."
input: [CHECK]: Arcana[PASS/FAIL]: Pass,"output: [OUTCOME]: You pull the heat from the flames, and the fire dies with a soft hiss, leaving behind a pile of cold, unburnt wood."
input: [CHECK]: Arcana[PASS/FAIL]: Fail,"output: [OUTCOME]: Your control slips, and you accidentally fuel the fire with a surge of elemental energy. The campfire erupts into a massive bonfire."
input: [CHECK]: Insight[PASS/FAIL]: Pass,"output: [OUTCOME]: You notice a slight tensing in his jaw when he is about to make an aggressive move, which allows you to prepare a counter-attack. You win the game."
input: [CHECK]: Insight[PASS/FAIL]: Fail,"output: [OUTCOME]: The strategist is completely unreadable, a perfect stone mask. You can get no clues from his demeanor and are easily outmaneuvered."
input: [CHECK]: Alchemist's Supplies[PASS/FAIL]: Pass,"output: [OUTCOME]: After a series of tests, you determine the liquid is a very rare form of magical coolant, often used in the construction of high-powered magical constructs."
input: [CHECK]: Alchemist's Supplies[PASS/FAIL]: Fail,"output: [OUTCOME]: The liquid is completely inert and reacts to none of your tests. Its composition is a total mystery, though it does taste faintly of lemon."
input: [CHECK]: Religion[PASS/FAIL]: Pass,"output: [OUTCOME]: The ghost, which was tied to this world by a sense of duty, finally understands that its work is done. It gives you a grateful nod and fades away into a peaceful light."
input: [CHECK]: Religion[PASS/FAIL]: Fail,"output: [OUTCOME]: The ghost is bound by a powerful curse, not a sense of duty. Your words of peace mean nothing to it, and it remains trapped in this world."
input: [CHECK]: Acrobatics[PASS/FAIL]: Pass,"output: [OUTCOME]: Instead of using your hands, you expertly brace your feet against the wall and your back against the rope, shimmying up without needing to grip it."
input: [CHECK]: Acrobatics[PASS/FAIL]: Fail,"output: [OUTCOME]: The grease is too thick. Every time you try to get a grip, your hands and feet just slide off, and you are unable to climb."
input: [CHECK]: Performance[PASS/FAIL]: Pass,"output: [OUTCOME]: The thunderous, hypnotic beat of your drum captivates the audience. They are filled with a primal energy and declare you the winner by acclamation."
input: [CHECK]: Performance[PASS/FAIL]: Fail,"output: [OUTCOME]: You have a powerful rhythm, but no sense of melody or showmanship. The crowd is briefly interested but is ultimately won over by a lute player with more flair."
input: [CHECK]: Arcana[PASS/FAIL]: Pass,"output: [OUTCOME]: Your scrying is successful. You see a brief image of the archmage, old and withered, sitting on a throne of black ice in a frozen wasteland."
input: [CHECK]: Arcana[PASS/FAIL]: Fail,"output: [OUTCOME]: Your spell is immediately blocked by a powerful anti-scrying ward. You not only fail to find the archmage, but you are certain he is now aware of your attempt."
input: [CHECK]: Deception[PASS/FAIL]: Pass,"output: [OUTCOME]: You deliver a toast that sounds like high praise to everyone else, but your target recognizes the subtle insult and their face flushes with anger."
input: [CHECK]: Deception[PASS/FAIL]: Fail,"output: [OUTCOME]: Your insult is too subtle. Your target takes it as a genuine compliment, and the person you were trying to impress with your wit is just confused."
input: [CHECK]: Insight[PASS/FAIL]: Pass,"output: [OUTCOME]: You focus your senses and can feel a cold, dead aura emanating from the twin on the right. That is the creature of the night."
input: [CHECK]: Insight[PASS/FAIL]: Fail,"output: [OUTCOME]: The vampire is using a powerful magical amulet to mask its undead nature. Both twins feel like living, breathing mortals to your divine sense."
input: [CHECK]: Athletics[PASS/FAIL]: Pass,"output: [OUTCOME]: You account for the wind, take a steadying breath, and release. The arrow flies true, splitting the apple perfectly in half without harming the person."
input: [CHECK]: Athletics[PASS/FAIL]: Fail,"output: [OUTCOME]: Your nerve breaks at the last second, and you pull the shot just a hair. The arrow misses the apple and the person completely, thudding into the tree behind them."
input: [CHECK]: Investigation[PASS/FAIL]: Pass,output: [OUTCOME]: You realize the creature is using a complex color-based grammar. You are able to decipher its basic meaning and communicate with it.
input: [CHECK]: Investigation[PASS/FAIL]: Fail,"output: [OUTCOME]: The colors shift in a chaotic, mesmerizing pattern that seems to have no logic or meaning. You are unable to communicate with the creature."
input: [CHECK]: History[PASS/FAIL]: Pass,output: [OUTCOME]: You recall reading that the castle's architect was famous for including secret passages. You remember a detail about a passage behind a specific tapestry in the main hall.
input: [CHECK]: History[PASS/FAIL]: Fail,"output: [OUTCOME]: You have studied many famous castles, but you have no specific knowledge of this one. You don't know where any secret passages might be."
input: [CHECK]: Persuasion[PASS/FAIL]: Pass,"output: [OUTCOME]: The guard captain, who was initially hostile, suddenly finds you to be a very reasonable and trustworthy person. They agree to your request."
input: [CHECK]: Persuasion[PASS/FAIL]: Fail,"output: [OUTCOME]: The guard captain is a highly disciplined veteran with a strong will. They recognize your attempt at magical manipulation and become even more hostile, drawing their weapon."
input: [CHECK]: Acrobatics[PASS/FAIL]: Pass,"output: [OUTCOME]: You run along one wall, leap to the other, snatch the key, and land back where you started, all without touching the trapped floor."
input: [CHECK]: Acrobatics[PASS/FAIL]: Fail,"output: [OUTCOME]: You manage to run along the first wall, but your leap to the second wall falls short. You land heavily on the trapped floor, triggering a loud alarm."
input: [CHECK]: Woodcarver's Tools[PASS/FAIL]: Pass,"output: [OUTCOME]: You are able to lash the logs together in a way that creates a stable, buoyant platform capable of carrying you and your companions safely across the river."
input: [CHECK]: Woodcarver's Tools[PASS/FAIL]: Fail,output: [OUTCOME]: Your design is too ambitious for the materials at hand. The raft is unstable and begins to come apart as soon as you put it in the water.
input: [CHECK]: Investigation[PASS/FAIL]: Pass,"output: [OUTCOME]: When you reach out with your senses, you are hit with a wave of pure malevolence. The object is not just cursed, it is a vessel for a powerful evil entity."
input: [CHECK]: Investigation[PASS/FAIL]: Fail,"output: [OUTCOME]: The artifact is ancient and powerful, but your divine sense detects no evil in it. It appears to be safe."
input: [CHECK]: Poisoner's Kit[PASS/FAIL]: Pass,"output: [OUTCOME]: You recognize the bitter, almond-like taste of Cyanide, a fast-acting and deadly poison."
input: [CHECK]: Poisoner's Kit[PASS/FAIL]: Fail,"output: [OUTCOME]: The poison has no taste at all, which is in itself a terrifying discovery. You have no idea what it is, only that it is expertly made."
input: [CHECK]: Wisdom[PASS/FAIL]: Pass,"output: [OUTCOME]: You feel a flash of rage, but you master it. You know that a tavern brawl is a fool's errand. You turn your back on the man and finish your drink."
input: [CHECK]: Wisdom[PASS/FAIL]: Fail,"output: [OUTCOME]: The insult is too much to bear. Your honor demands satisfaction. You let out a roar of rage and flip the table, challenging the man to a fight."
input: [CHECK]: Arcana[PASS/FAIL]: Pass,"output: [OUTCOME]: You are able to impose your will on the chaotic magic. Your spell works as intended, without any strange side effects."
input: [CHECK]: Arcana[PASS/FAIL]: Fail,"output: [OUTCOME]: The wild magic overwhelms your spell. Instead of a fireball, you summon a shower of harmless blue frogs."
input: [CHECK]: Performance[PASS/FAIL]: Pass,"output: [OUTCOME]: Your sonnet is a masterpiece of meter and metaphor. The audience is spellbound, and you easily win the contest."
input: [CHECK]: Performance[PASS/FAIL]: Fail,output: [OUTCOME]: Your poem is full of cliches and forced rhymes. The audience gives you a polite but unenthusiastic round of applause.
input: [CHECK]: Religion[PASS/FAIL]: Pass,"output: [OUTCOME]: You know the text was written by a specific sect from a specific era, which allows you to ignore most of the library and focus your search on a single, dusty wing. You find the book."
input: [CHECK]: Religion[PASS/FAIL]: Fail,"output: [OUTCOME]: The library is a chaotic mess, with books from a hundred different faiths and sects all mixed together. Your specialized knowledge is of no use here."
input: [CHECK]: Survival[PASS/FAIL]: Pass,"output: [OUTCOME]: The night is clear, and you easily spot the North Star, allowing you to determine which way is north and get your bearings."
input: [CHECK]: Survival[PASS/FAIL]: Fail,"output: [OUTCOME]: The sky is overcast, and you cannot see the stars. You have no way of knowing which direction is which."
input: [CHECK]: Deception[PASS/FAIL]: Pass,"output: [OUTCOME]: Your display of power and your strange, prophetic words are enough to convince the cultists. They kneel before you, believing you to be a chosen one."
input: [CHECK]: Deception[PASS/FAIL]: Fail,"output: [OUTCOME]: Your magic is impressive, but your knowledge of their dogma is flawed. The cult's high priest denounces you as a heretic and an impostor."
input: [CHECK]: Insight[PASS/FAIL]: Pass,"output: [OUTCOME]: You see in the soldier's eyes not fanaticism, but fear and doubt. Their loyalty is to their comrades, not their king. They can be turned."
input: [CHECK]: Insight[PASS/FAIL]: Fail,output: [OUTCOME]: The soldier is a true believer in their cause. You see nothing but unwavering loyalty in their eyes. They will never betray their kingdom.
input: [CHECK]: Nature[PASS/FAIL]: Pass,"output: [OUTCOME]: You gather the moisture in the air and are able to create a small, intense rain shower that douses the flames."
input: [CHECK]: Nature[PASS/FAIL]: Fail,"output: [OUTCOME]: You are unable to gather enough moisture from the hot, dry air. Your spell produces only a weak, misty drizzle that does nothing to stop the fire."
input: [CHECK]: Sleight of Hand[PASS/FAIL]: Pass,"output: [OUTCOME]: Your hand is a blur. The chopsticks snap together, and you have caught the fly by its wings, completely unharmed."
input: [CHECK]: Sleight of Hand[PASS/FAIL]: Fail,"output: [OUTCOME]: The fly is impossibly fast, and it easily evades your attempts to catch it, buzzing mockingly around your head."
input: [CHECK]: Alchemist's Supplies[PASS/FAIL]: Pass,"output: [OUTCOME]: You create a sovereign glue, a magical substance that can permanently bond any two objects together."
input: [CHECK]: Alchemist's Supplies[PASS/FAIL]: Fail,"output: [OUTCOME]: You create an incredibly effective solvent instead. The beaker you were using to mix it dissolves, and the contents spill all over your work table."
input: [CHECK]: Athletics[PASS/FAIL]: Pass,output: [OUTCOME]: You channel your divine might into your weapon. The resulting blow is so powerful that it shatters the magical chain into a thousand pieces.
input: [CHECK]: Athletics[PASS/FAIL]: Fail,"output: [OUTCOME]: The chain is made of a strange, magic-resistant metal. Your divinely empowered strike does nothing but create a few sparks."
input: [CHECK]: Deception[PASS/FAIL]: Pass,"output: [OUTCOME]: They take the bait completely, believing your fabricated intelligence. Their strategic position now seems weaker, and they agree to the truce."
input: [CHECK]: Deception[PASS/FAIL]: Fail,output: [OUTCOME]: The faction leader is a shrewd tactician and sees a flaw in your 'intelligence.' They realize you are playing them and become hostile to both you and the other side.
input: [CHECK]: History[PASS/FAIL]: Pass,output: [OUTCOME]: You remember reading that the knight always relies on a powerful opening lunge but has poor footing when forced to backpedal. You know how to counter them.
input: [CHECK]: History[PASS/FAIL]: Fail,"output: [OUTCOME]: The knight's legend is great, but the actual details of their fights are scarce and contradictory. You have no tactical information to go on."
input: [CHECK]: Charisma[PASS/FAIL]: Pass,"output: [OUTCOME]: You focus your will, and the dream-stuff coalesces into a shimmering sword of pure energy in your hand. The dreamscape is subject to your imagination."
input: [CHECK]: Charisma[PASS/FAIL]: Fail,"output: [OUTCOME]: Your grip on the dream is too weak. You try to imagine a sword, but it appears as a limp, useless noodle. The dreamer's subconscious is stronger than yours."
input: [CHECK]: Insight[PASS/FAIL]: Pass,"output: [OUTCOME]: You sit in silence, providing a calm, non-judgmental presence. The ghost, sensing your empathy, finally unburdens its centuries of sorrow and finds peace."
input: [CHECK]: Insight[PASS/FAIL]: Fail,"output: [OUTCOME]: Your silence is seen not as empathy, but as cold indifference. The ghost becomes agitated and hostile, its sorrow turning to rage."
input: [CHECK]: Tinker's Tools[PASS/FAIL]: Pass,"output: [OUTCOME]: You quickly assemble a spring-loaded device that launches a weighted net. You take aim and fire, neatly capturing the flying tome."
input: [CHECK]: Tinker's Tools[PASS/FAIL]: Fail,"output: [OUTCOME]: Your device is too powerful. It launches the net with such force that it slams the book against the far wall, damaging its delicate spine."
input: [CHECK]: Investigation[PASS/FAIL]: Pass,"output: [OUTCOME]: You find a worn teddy bear with a hidden locket containing a picture of their parents, hinting that a past tragedy is the source of their evil."
input: [CHECK]: Investigation[PASS/FAIL]: Fail,"output: [OUTCOME]: The room is sterile and empty, cleaned of all personal effects long ago. The villain's past remains a closed book."
input: [CHECK]: Dice Set[PASS/FAIL]: Pass,"output: [OUTCOME]: The ghost, bound by the rules of the game it created, does not notice your cheating. You easily win the high-stakes game."
input: [CHECK]: Dice Set[PASS/FAIL]: Fail,output: [OUTCOME]: The dice pass right through the ghost's spectral hand. It seems mortal cheating has no effect on the ethereal plane. You are forced to play fairly.
input: [CHECK]: Nature[PASS/FAIL]: Pass,"output: [OUTCOME]: You place your hand on the ground and can feel a slow, rhythmic vibration, like a massive heart beating faster. The turtle is definitely stirring."
input: [CHECK]: Nature[PASS/FAIL]: Fail,output: [OUTCOME]: The tremors feel like normal geological activity. You can't sense any sign of life from the great creature beneath your feet.
input: [CHECK]: Arcana[PASS/FAIL]: Pass,"output: [OUTCOME]: You focus your mind, and the swirling patterns in the crystal resolve into legible text. You are able to read the strange, crystalline book."
input: [CHECK]: Arcana[PASS/FAIL]: Fail,"output: [OUTCOME]: The crystal's frequency is too chaotic. Trying to read it gives you a splitting headache and fills your mind with confusing, discordant images."
input: [CHECK]: Performance[PASS/FAIL]: Pass,"output: [OUTCOME]: The baker, intrigued by your offer and seeing a way to attract more customers, agrees. The situation is defused, and the orphan gets to eat."
input: [CHECK]: Performance[PASS/FAIL]: Fail,"output: [OUTCOME]: The baker is too angry to listen to your novel proposal. 'I want justice, not a concert!' he shouts, calling for the city watch."
input: [CHECK]: Religion[PASS/FAIL]: Pass,"output: [OUTCOME]: You engage them in a deep, compassionate theological discussion. You don't have all the answers, but your unwavering faith helps them find their own again."
input: [CHECK]: Religion[PASS/FAIL]: Fail,output: [OUTCOME]: Your dogmatic answers and theological platitudes ring hollow in the face of their very real pain. Your words only push them further away from their faith.
input: [CHECK]: Survival[PASS/FAIL]: Pass,"output: [OUTCOME]: You recognize the tracks from an old legend. They belong to a Hell Hound, a creature from the infernal planes."
input: [CHECK]: Survival[PASS/FAIL]: Fail,output: [OUTCOME]: The tracks are completely unnatural. You have no idea what kind of creature could leave a trail of fire in its wake.
input: [CHECK]: Deception[PASS/FAIL]: Pass,"output: [OUTCOME]: You offer a trivial, happy memory of a childhood pet. The vendor, thinking it is a memory of a powerful magical beast, accepts the trade. You have your password."
input: [CHECK]: Deception[PASS/FAIL]: Fail,"output: [OUTCOME]: The memory vendor is a powerful telepath. It senses the true, trivial nature of the memory you are offering and refuses the trade, calling you a cheapskate."
input: [CHECK]: Animal Handling[PASS/FAIL]: Pass,"output: [OUTCOME]: The eagle, sensing you are not a threat, cautiously accepts your offering. It allows you to get close, a sign of trust."
input: [CHECK]: Animal Handling[PASS/FAIL]: Fail,"output: [OUTCOME]: You get too close, too fast. The eagle sees you as a predator, lets out a piercing shriek, and flies away."
input: [CHECK]: Sleight of Hand[PASS/FAIL]: Pass,"output: [OUTCOME]: Your body is a perfect instrument. You flawlessly replicate the complex and beautiful martial arts form, earning an impressed nod from the master."
input: [CHECK]: Sleight of Hand[PASS/FAIL]: Fail,"output: [OUTCOME]: You get the broad strokes of the form right, but you miss a few of the subtle, crucial details. The master shakes their head. 'You have much to learn.'"
