input:  [ACTION]: player_input,output: [CHECK]: check_required
input:  [ACTION]: I compose a song about the dragon's magnificent hoard and how a single missing coin would only enhance its legend.,output: [CHECK]: Performance
input:  [ACTION]: I compose a song about the dragon's magnificent hoard and how a single missing coin would only enhance its legend.,output: [CHECK]: Performance
input:  [ACTION]: I examine the wound for signs of necrotic energy.,output: [CHECK]: Medicine
input:  [ACTION]: I examine the wound for signs of necrotic energy.,output: [CHECK]: Medicine
input:  [ACTION]: I use my knowledge of natural tunnels and formations to find a way out.,output: [CHECK]: Survival
input:  [ACTION]: I use my knowledge of natural tunnels and formations to find a way out.,output: [CHECK]: Survival
input:  [ACTION]: I ask my patron for the answer.,output: [CHECK]: Intelligence
input:  [ACTION]: I ask my patron for the answer.,output: [CHECK]: Intelligence
input:  [ACTION]: I appeal to their courage and their sense of duty.,output: [CHECK]: Persuasion
input:  [ACTION]: I appeal to their courage and their sense of duty.,output: [CHECK]: Persuasion
input:  [ACTION]: I try to slow my descent by creating an updraft of wind.,output: [CHECK]: Acrobatics
input:  [ACTION]: I try to slow my descent by creating an updraft of wind.,output: [CHECK]: Acrobatics
input:  [ACTION]: I try to distribute my weight and move with perfect lightness.,output: [CHECK]: Stealth
input:  [ACTION]: I try to distribute my weight and move with perfect lightness.,output: [CHECK]: Stealth
input:  [ACTION]: I try to build a 'translation earhorn' using a combination of cogs and enchantment.,output: [CHECK]: Arcana
input:  [ACTION]: I try to build a 'translation earhorn' using a combination of cogs and enchantment.,output: [CHECK]: Arcana
input:  [ACTION]: I try to intimidate it with the power of my faith.,output: [CHECK]: Intimidation
input:  [ACTION]: I try to intimidate it with the power of my faith.,output: [CHECK]: Intimidation
input:  [ACTION]: I look for subtle clues to tell them apart.,output: [CHECK]: Investigation
input:  [ACTION]: I look for subtle clues to tell them apart.,output: [CHECK]: Investigation
input:  [ACTION]: I try to find a snow rabbit's burrow.,output: [CHECK]: Survival
input:  [ACTION]: I try to find a snow rabbit's burrow.,output: [CHECK]: Survival
input:  [ACTION]: I try to create a perfect illusion of their commanding officer.,output: [CHECK]: Deception
input:  [ACTION]: I try to create a perfect illusion of their commanding officer.,output: [CHECK]: Deception
input:  [ACTION]: I start playing a lively dwarven drinking song on my lute.,output: [CHECK]: Performance
input:  [ACTION]: I start playing a lively dwarven drinking song on my lute.,output: [CHECK]: Performance
input:  [ACTION]: I search my memory for the symbol.,output: [CHECK]: History
input:  [ACTION]: I search my memory for the symbol.,output: [CHECK]: History
input:  [ACTION]: I use mud and reeds to blend in with my surroundings.,output: [CHECK]: Stealth
input:  [ACTION]: I use mud and reeds to blend in with my surroundings.,output: [CHECK]: Stealth
input:  [ACTION]: I show it a glimpse of my patron's terrifying form.,output: [CHECK]: Intimidation
input:  [ACTION]: I show it a glimpse of my patron's terrifying form.,output: [CHECK]: Intimidation
input:  [ACTION]: I look for signs of stress or damage to the building's foundation.,output: [CHECK]: Investigation
input:  [ACTION]: I look for signs of stress or damage to the building's foundation.,output: [CHECK]: Investigation
input:  [ACTION]: I try to speak to it in its own fiery language.,output: [CHECK]: Persuasion
input:  [ACTION]: I try to speak to it in its own fiery language.,output: [CHECK]: Persuasion
input:  [ACTION]: I try to find the perfect point of balance for each stone.,output: [CHECK]: Sleight of Hand
input:  [ACTION]: I try to find the perfect point of balance for each stone.,output: [CHECK]: Sleight of Hand
input:  [ACTION]: I try to craft a lantern with a specially ground crystal lens.,output: [CHECK]: Arcana
input:  [ACTION]: I try to craft a lantern with a specially ground crystal lens.,output: [CHECK]: Arcana
input:  [ACTION]: I use my divine sense to detect any deception.,output: [CHECK]: Insight
input:  [ACTION]: I use my divine sense to detect any deception.,output: [CHECK]: Insight
"input:  [ACTION]: I try to communicate with the elemental, offering to free it for a favor.",output: [CHECK]: Persuasion
"input:  [ACTION]: I try to communicate with the elemental, offering to free it for a favor.",output: [CHECK]: Persuasion
input:  [ACTION]: I try to read a book from a distance by memorizing the page in a glance.,output: [CHECK]: Investigation
input:  [ACTION]: I try to read a book from a distance by memorizing the page in a glance.,output: [CHECK]: Investigation
input:  [ACTION]: I try to use logic to deconstruct the riddle's linguistic flaws.,output: [CHECK]: Intelligence
input:  [ACTION]: I try to use logic to deconstruct the riddle's linguistic flaws.,output: [CHECK]: Intelligence
input:  [ACTION]: I try to use my own faith to overwhelm the phylactery's defenses.,output: [CHECK]: Religion
input:  [ACTION]: I try to use my own faith to overwhelm the phylactery's defenses.,output: [CHECK]: Religion
"input:  [ACTION]: I mention the name of a rival smuggler, implying they sold him out.",output: [CHECK]: Deception
"input:  [ACTION]: I mention the name of a rival smuggler, implying they sold him out.",output: [CHECK]: Deception
input:  [ACTION]: I try to navigate the city without my primary weapon.,output: [CHECK]: Wisdom
input:  [ACTION]: I try to navigate the city without my primary weapon.,output: [CHECK]: Wisdom
input:  [ACTION]: I try to cast the spell by phonetically sounding out the strange words.,output: [CHECK]: Arcana
input:  [ACTION]: I try to cast the spell by phonetically sounding out the strange words.,output: [CHECK]: Arcana
input:  [ACTION]: I try to tell a story using only my lute.,output: [CHECK]: Performance
input:  [ACTION]: I try to tell a story using only my lute.,output: [CHECK]: Performance
input:  [ACTION]: I offer them a loaf of bread and a prayer for their safety.,output: [CHECK]: Persuasion
input:  [ACTION]: I offer them a loaf of bread and a prayer for their safety.,output: [CHECK]: Persuasion
input:  [ACTION]: I try to scrape some moss into a pouch to use for silent movement later.,output: [CHECK]: Stealth
input:  [ACTION]: I try to scrape some moss into a pouch to use for silent movement later.,output: [CHECK]: Stealth
input:  [ACTION]: I try to find the one true reflection by looking for the one that doesn't show a vision.,output: [CHECK]: Investigation
input:  [ACTION]: I try to find the one true reflection by looking for the one that doesn't show a vision.,output: [CHECK]: Investigation
input:  [ACTION]: I discreetly use the silver tip of my dagger to test the wine.,output: [CHECK]: Sleight of Hand
input:  [ACTION]: I discreetly use the silver tip of my dagger to test the wine.,output: [CHECK]: Sleight of Hand
input:  [ACTION]: I try to draw the heat out of the fire with my magic.,output: [CHECK]: Arcana
input:  [ACTION]: I try to draw the heat out of the fire with my magic.,output: [CHECK]: Arcana
input:  [ACTION]: I try to anticipate his moves by reading his body language.,output: [CHECK]: Insight
input:  [ACTION]: I try to anticipate his moves by reading his body language.,output: [CHECK]: Insight
input:  [ACTION]: I use my alchemist's supplies to analyze a sample.,output: [CHECK]: Alchemist's Supplies
input:  [ACTION]: I use my alchemist's supplies to analyze a sample.,output: [CHECK]: Alchemist's Supplies
input:  [ACTION]: I explain that its purpose in this world is fulfilled and it can now be at peace.,output: [CHECK]: Religion
input:  [ACTION]: I explain that its purpose in this world is fulfilled and it can now be at peace.,output: [CHECK]: Religion
input:  [ACTION]: I try to find a way to get a grip on the greasy rope.,output: [CHECK]: Acrobatics
input:  [ACTION]: I try to find a way to get a grip on the greasy rope.,output: [CHECK]: Acrobatics
"input:  [ACTION]: I play a powerful, primal rhythm that stirs the heart.",output: [CHECK]: Performance
"input:  [ACTION]: I play a powerful, primal rhythm that stirs the heart.",output: [CHECK]: Performance
input:  [ACTION]: I try to use a scrying spell to find him.,output: [CHECK]: Arcana
input:  [ACTION]: I try to use a scrying spell to find him.,output: [CHECK]: Arcana
"input:  [ACTION]: I craft a clever, backhanded compliment.",output: [CHECK]: Deception
"input:  [ACTION]: I craft a clever, backhanded compliment.",output: [CHECK]: Deception
input:  [ACTION]: I use my divine sense to detect the undead one.,output: [CHECK]: Insight
input:  [ACTION]: I use my divine sense to detect the undead one.,output: [CHECK]: Insight
input:  [ACTION]: I try to make the incredibly precise shot.,output: [CHECK]: Athletics
input:  [ACTION]: I try to make the incredibly precise shot.,output: [CHECK]: Athletics
input:  [ACTION]: I try to find a pattern in the color shifts.,output: [CHECK]: Investigation
input:  [ACTION]: I try to find a pattern in the color shifts.,output: [CHECK]: Investigation
input:  [ACTION]: I try to recall the castle's original blueprints from my studies.,output: [CHECK]: History
input:  [ACTION]: I try to recall the castle's original blueprints from my studies.,output: [CHECK]: History
"input:  [ACTION]: I try to use my innate charisma, enhanced by a subtle magical aura.",output: [CHECK]: Persuasion
"input:  [ACTION]: I try to use my innate charisma, enhanced by a subtle magical aura.",output: [CHECK]: Persuasion
input:  [ACTION]: I try to run along the walls of the room to get the key.,output: [CHECK]: Acrobatics
input:  [ACTION]: I try to run along the walls of the room to get the key.,output: [CHECK]: Acrobatics
input:  [ACTION]: I use my knowledge of engineering to build a sturdy raft.,output: [CHECK]: Woodcarver's Tools
input:  [ACTION]: I use my knowledge of engineering to build a sturdy raft.,output: [CHECK]: Woodcarver's Tools
input:  [ACTION]: I use my divine sense to detect any evil clinging to the object.,output: [CHECK]: Investigation
input:  [ACTION]: I use my divine sense to detect any evil clinging to the object.,output: [CHECK]: Investigation
"input:  [ACTION]: I carefully taste a tiny, non-lethal amount of the poison.",output: [CHECK]: Poisoner's Kit
"input:  [ACTION]: I carefully taste a tiny, non-lethal amount of the poison.",output: [CHECK]: Poisoner's Kit
input:  [ACTION]: I try to ignore the insult and control my temper.,output: [CHECK]: Wisdom
input:  [ACTION]: I try to ignore the insult and control my temper.,output: [CHECK]: Wisdom
input:  [ACTION]: I try to control the unpredictable magical energies.,output: [CHECK]: Arcana
input:  [ACTION]: I try to control the unpredictable magical energies.,output: [CHECK]: Arcana
input:  [ACTION]: I compose a moving sonnet about the beauty of the sunset.,output: [CHECK]: Performance
input:  [ACTION]: I compose a moving sonnet about the beauty of the sunset.,output: [CHECK]: Performance
input:  [ACTION]: I use my religious knowledge to narrow down the search.,output: [CHECK]: Religion
input:  [ACTION]: I use my religious knowledge to narrow down the search.,output: [CHECK]: Religion
input:  [ACTION]: I look for the familiar constellation to find my way.,output: [CHECK]: Survival
input:  [ACTION]: I look for the familiar constellation to find my way.,output: [CHECK]: Survival
input:  [ACTION]: I display a dark magical feat and speak in cryptic verses.,output: [CHECK]: Deception
input:  [ACTION]: I display a dark magical feat and speak in cryptic verses.,output: [CHECK]: Deception
input:  [ACTION]: I try to gauge their loyalty and morale.,output: [CHECK]: Insight
input:  [ACTION]: I try to gauge their loyalty and morale.,output: [CHECK]: Insight
input:  [ACTION]: I attempt to summon a localized rain shower over the fire.,output: [CHECK]: Nature
input:  [ACTION]: I attempt to summon a localized rain shower over the fire.,output: [CHECK]: Nature
input:  [ACTION]: I try to achieve the necessary speed and precision.,output: [CHECK]: Sleight of Hand
input:  [ACTION]: I try to achieve the necessary speed and precision.,output: [CHECK]: Sleight of Hand
input:  [ACTION]: I use my alchemist's supplies to create a powerful adhesive.,output: [CHECK]: Alchemist's Supplies
input:  [ACTION]: I use my alchemist's supplies to create a powerful adhesive.,output: [CHECK]: Alchemist's Supplies
input:  [ACTION]: I try to shatter it with a divinely empowered strike.,output: [CHECK]: Athletics
input:  [ACTION]: I try to shatter it with a divinely empowered strike.,output: [CHECK]: Athletics
"input:  [ACTION]: I subtly feed misinformation to one side, pretending to be their ally, to manipulate them into a truce.",output: [CHECK]: Deception
"input:  [ACTION]: I subtly feed misinformation to one side, pretending to be their ally, to manipulate them into a truce.",output: [CHECK]: Deception
input:  [ACTION]: I try to recall accounts of their previous duels to find a weakness in their fighting style.,output: [CHECK]: History
input:  [ACTION]: I try to recall accounts of their previous duels to find a weakness in their fighting style.,output: [CHECK]: History
input:  [ACTION]: I try to reshape the dreamscape to my advantage by imagining a weapon into existence.,output: [CHECK]: Charisma
input:  [ACTION]: I try to reshape the dreamscape to my advantage by imagining a weapon into existence.,output: [CHECK]: Charisma
input:  [ACTION]: I try to comfort the ghost by listening to its story with empathetic silence.,output: [CHECK]: Insight
input:  [ACTION]: I try to comfort the ghost by listening to its story with empathetic silence.,output: [CHECK]: Insight
input:  [ACTION]: I try to build a net-launcher to catch the specific book I need.,output: [CHECK]: Tinker's Tools
input:  [ACTION]: I try to build a net-launcher to catch the specific book I need.,output: [CHECK]: Tinker's Tools
input:  [ACTION]: I search their old bedroom for clues to their motivations or weaknesses.,output: [CHECK]: Investigation
input:  [ACTION]: I search their old bedroom for clues to their motivations or weaknesses.,output: [CHECK]: Investigation
input:  [ACTION]: I use my loaded dice to cheat.,output: [CHECK]: Dice Set
input:  [ACTION]: I use my loaded dice to cheat.,output: [CHECK]: Dice Set
input:  [ACTION]: I try to determine if the recent 'earthquakes' are the turtle waking up.,output: [CHECK]: Nature
input:  [ACTION]: I try to determine if the recent 'earthquakes' are the turtle waking up.,output: [CHECK]: Nature
input:  [ACTION]: I try to read a book by calming my mind and attuning to its resonant frequency.,output: [CHECK]: Arcana
input:  [ACTION]: I try to read a book by calming my mind and attuning to its resonant frequency.,output: [CHECK]: Arcana
input:  [ACTION]: I offer to perform a song in the baker's shop for a day to pay for the stolen bread.,output: [CHECK]: Performance
input:  [ACTION]: I offer to perform a song in the baker's shop for a day to pay for the stolen bread.,output: [CHECK]: Performance
input:  [ACTION]: I try to restore their faith by debating theology with them.,output: [CHECK]: Religion
input:  [ACTION]: I try to restore their faith by debating theology with them.,output: [CHECK]: Religion
input:  [ACTION]: I use my knowledge of supernatural creatures to identify the tracks.,output: [CHECK]: Survival
input:  [ACTION]: I use my knowledge of supernatural creatures to identify the tracks.,output: [CHECK]: Survival
input:  [ACTION]: I try to purchase the memory of a secret password from a vendor.,output: [CHECK]: Deception
input:  [ACTION]: I try to purchase the memory of a secret password from a vendor.,output: [CHECK]: Deception
"input:  [ACTION]: I approach it slowly, with an offering of food and no sudden movements.",output: [CHECK]: Animal Handling
"input:  [ACTION]: I approach it slowly, with an offering of food and no sudden movements.",output: [CHECK]: Animal Handling
input:  [ACTION]: I try to mimic the form with perfect muscle memory.,output: [CHECK]: Sleight of Hand
input:  [ACTION]: I try to mimic the form with perfect muscle memory.,output: [CHECK]: Sleight of Hand
input:  [ACTION]: I appeal to her by showing my deep connection to the forest.,output: [CHECK]: Nature
input:  [ACTION]: I appeal to her by showing my deep connection to the forest.,output: [CHECK]: Nature
input:  [ACTION]: I offer them a chance at a new life and a clean slate in exchange for the information.,output: [CHECK]: Persuasion
input:  [ACTION]: I offer them a chance at a new life and a clean slate in exchange for the information.,output: [CHECK]: Persuasion
input:  [ACTION]: I study the terrain and my knowledge of their general's favorite tactics.,output: [CHECK]: History
input:  [ACTION]: I study the terrain and my knowledge of their general's favorite tactics.,output: [CHECK]: History
input:  [ACTION]: I try to turn the wooden bar to ash with my fire magic.,output: [CHECK]: Arcana
input:  [ACTION]: I try to turn the wooden bar to ash with my fire magic.,output: [CHECK]: Arcana
input:  [ACTION]: I use my discipline to slow my heart and detect any poison in a small bite.,output: [CHECK]: Constitution
input:  [ACTION]: I take a tiny bite and detect any poison with my discipline.,output: [CHECK]: Constitution
input:  [ACTION]: I try to hotwire the construct's arcane power core.,output: [CHECK]: Tinker's Tools
input:  [ACTION]: I try to hotwire the construct's arcane power core.,output: [CHECK]: Tinker's Tools
input:  [ACTION]: I use my sheer strength and righteous fury to hold up the ceiling.,output: [CHECK]: Athletics
input:  [ACTION]: I use my sheer strength and righteous fury to hold up the ceiling.,output: [CHECK]: Athletics
input:  [ACTION]: I try to create a diversion by cutting a merchant's purse so his coins spill everywhere.,output: [CHECK]: Sleight of Hand
input:  [ACTION]: I try to create a diversion by cutting a merchant's purse so his coins spill everywhere.,output: [CHECK]: Sleight of Hand
input:  [ACTION]: I try to approach the seal without it noticing me.,output: [CHECK]: Stealth
input:  [ACTION]: I try to approach the seal without it noticing me.,output: [CHECK]: Stealth
input:  [ACTION]: I cast an identification spell on the metal.,output: [CHECK]: Arcana
input:  [ACTION]: I cast an identification spell on the metal.,output: [CHECK]: Arcana
input:  [ACTION]: I pretend to be a clueless provincial lord to get them to lower their guard.,output: [CHECK]: Performance
input:  [ACTION]: I pretend to be a clueless provincial lord to get them to lower their guard.,output: [CHECK]: Performance
input:  [ACTION]: I use my divine sense to detect the object's aura.,output: [CHECK]: Religion
input:  [ACTION]: I use my divine sense to detect the object's aura.,output: [CHECK]: Religion
"input:  [ACTION]: I look for signs of its passage, like dropped feathers or claw marks on high branches.",output: [CHECK]: Investigation
"input:  [ACTION]: I look for signs of its passage, like dropped feathers or claw marks on high branches.",output: [CHECK]: Investigation
input:  [ACTION]: I try to trick the lock with a drop of my own magically-infused blood.,output: [CHECK]: Deception
input:  [ACTION]: I try to trick the lock with a drop of my own magically-infused blood.,output: [CHECK]: Deception
input:  [ACTION]: I survey the battlefield from the hilltop.,output: [CHECK]: Insight
input:  [ACTION]: I survey the battlefield from the hilltop.,output: [CHECK]: Insight
"input:  [ACTION]: I forge a letter from one crime boss to the other, making it seem like a betrayal.",output: [CHECK]: Forgery Kit
"input:  [ACTION]: I forge a letter from one crime boss to the other, making it seem like a betrayal.",output: [CHECK]: Forgery Kit
input:  [ACTION]: I try to analyze their strange style to find a weakness.,output: [CHECK]: Investigation
input:  [ACTION]: I try to analyze their strange style to find a weakness.,output: [CHECK]: Investigation
"input:  [ACTION]: I try to create a small, focused gust of wind.",output: [CHECK]: Sleight of Hand
"input:  [ACTION]: I try to create a small, focused gust of wind.",output: [CHECK]: Sleight of Hand
input:  [ACTION]: I use my ki to regulate my body temperature.,output: [CHECK]: Constitution
input:  [ACTION]: I use my ki to regulate my body temperature.,output: [CHECK]: Constitution
input:  [ACTION]: I use my knowledge of stonework and history to understand the runes.,output: [CHECK]: History
input:  [ACTION]: I use my knowledge of stonework and history to understand the runes.,output: [CHECK]: History
input:  [ACTION]: I engage them in a theological discussion to prove my faith.,output: [CHECK]: Religion
input:  [ACTION]: I engage them in a theological discussion to prove my faith.,output: [CHECK]: Religion
input:  [ACTION]: I use my tactical knowledge to identify the best choke point to make our stand.,output: [CHECK]: Investigation
input:  [ACTION]: I use my tactical knowledge to identify the best choke point to make our stand.,output: [CHECK]: Investigation
input:  [ACTION]: I toss a small stone onto a nearby tile to see if it triggers a trap.,output: [CHECK]: Sleight of Hand
input:  [ACTION]: I toss a small stone onto a nearby tile to see if it triggers a trap.,output: [CHECK]: Sleight of Hand
input:  [ACTION]: I try to commit the path's correct sequence to memory before it changes again.,output: [CHECK]: Intelligence
input:  [ACTION]: I try to commit the path's correct sequence to memory before it changes again.,output: [CHECK]: Intelligence
input:  [ACTION]: I try to deliver a moving eulogy to honor their memory.,output: [CHECK]: Performance
input:  [ACTION]: I try to deliver a moving eulogy to honor their memory.,output: [CHECK]: Performance
input:  [ACTION]: I try to sharpen my sword with a whetstone at camp.,output: [CHECK]: Smith's Tools
input:  [ACTION]: I try to sharpen my sword with a whetstone at camp.,output: [CHECK]: Smith's Tools
"input:  [ACTION]: I look for signs of hidden springs, like patches of green vegetation.",output: [CHECK]: Survival
"input:  [ACTION]: I look for signs of hidden springs, like patches of green vegetation.",output: [CHECK]: Survival
input:  [ACTION]: I try to break the chains binding my hands.,output: [CHECK]: Athletics
input:  [ACTION]: I try to break the chains binding my hands.,output: [CHECK]: Athletics
input:  [ACTION]: I try to examine the gem for any imperfections.,output: [CHECK]: Investigation
input:  [ACTION]: I try to examine the gem for any imperfections.,output: [CHECK]: Investigation
input:  [ACTION]: I use my knowledge of alchemy to brew the potion.,output: [CHECK]: Alchemist's Supplies
input:  [ACTION]: I use my knowledge of alchemy to brew the potion.,output: [CHECK]: Alchemist's Supplies
input:  [ACTION]: I use my divine sense to detect any evil or fiendish presence.,output: [CHECK]: Insight
input:  [ACTION]: I use my divine sense to detect any evil or fiendish presence.,output: [CHECK]: Insight
input:  [ACTION]: I look for a gap in their armor to strike at.,output: [CHECK]: Perception
input:  [ACTION]: I look for a gap in their armor to strike at.,output: [CHECK]: Perception
input:  [ACTION]: I use my knowledge of nature to identify the plant.,output: [CHECK]: Nature
input:  [ACTION]: I use my knowledge of nature to identify the plant.,output: [CHECK]: Nature
input:  [ACTION]: I snap a wooden spear in half over my knee to show my strength.,output: [CHECK]: Intimidation
input:  [ACTION]: I snap a wooden spear in half over my knee to show my strength.,output: [CHECK]: Intimidation
input:  [ACTION]: I watch for signs of deception in their body language.,output: [CHECK]: Insight
input:  [ACTION]: I watch for signs of deception in their body language.,output: [CHECK]: Insight
input:  [ACTION]: I search my vast mental library for the name.,output: [CHECK]: History
input:  [ACTION]: I search my vast mental library for the name.,output: [CHECK]: History
input:  [ACTION]: I use my healing magic to neutralize the poison.,output: [CHECK]: Medicine
input:  [ACTION]: I use my healing magic to neutralize the poison.,output: [CHECK]: Medicine
input:  [ACTION]: I analyze their movements for weaknesses.,output: [CHECK]: Insight
input:  [ACTION]: I analyze their movements for weaknesses.,output: [CHECK]: Insight
input:  [ACTION]: I try to soothe the animal and show it there's no danger.,output: [CHECK]: Animal Handling
input:  [ACTION]: I try to soothe the animal and show it there's no danger.,output: [CHECK]: Animal Handling
input:  [ACTION]: I use my sheer endurance to withstand the cold.,output: [CHECK]: Constitution
input:  [ACTION]: I use my sheer endurance to withstand the cold.,output: [CHECK]: Constitution
input:  [ACTION]: I try to charm the guard with a flirtatious smile.,output: [CHECK]: Deception
input:  [ACTION]: I try to charm the guard with a flirtatious smile.,output: [CHECK]: Deception
input:  [ACTION]: I try to find the book among the charred remains.,output: [CHECK]: Investigation
input:  [ACTION]: I try to find the book among the charred remains.,output: [CHECK]: Investigation
input:  [ACTION]: I try to reveal the hag's true nature to the villagers.,output: [CHECK]: Persuasion
input:  [ACTION]: I try to reveal the hag's true nature to the villagers.,output: [CHECK]: Persuasion
"input:  [ACTION]: I try to issue clear, simple commands to direct the soldiers.",output: [CHECK]: Performance
"input:  [ACTION]: I try to issue clear, simple commands to direct the soldiers.",output: [CHECK]: Performance
input:  [ACTION]: I look for a suitable cave or overhang to wait out the storm.,output: [CHECK]: Perception
input:  [ACTION]: I look for a suitable cave or overhang to wait out the storm.,output: [CHECK]: Perception
input:  [ACTION]: I use my rage to fuel my strength and bend the bars.,output: [CHECK]: Athletics
input:  [ACTION]: I use my rage to fuel my strength and bend the bars.,output: [CHECK]: Athletics
input:  [ACTION]: I try to conceal the object in a hidden pocket.,output: [CHECK]: Sleight of Hand
input:  [ACTION]: I try to conceal the object in a hidden pocket.,output: [CHECK]: Sleight of Hand
input:  [ACTION]: I cast an 'Identify' spell on the item.,output: [CHECK]: Arcana
input:  [ACTION]: I cast an 'Identify' spell on the item.,output: [CHECK]: Arcana
input:  [ACTION]: I search my memory for the story of the saint.,output: [CHECK]: Religion
input:  [ACTION]: I search my memory for the story of the saint.,output: [CHECK]: Religion
"input:  [ACTION]: I inspect the blade for balance, weight, and craftsmanship.",output: [CHECK]: Investigation
"input:  [ACTION]: I inspect the blade for balance, weight, and craftsmanship.",output: [CHECK]: Investigation
input:  [ACTION]: I use the position of the moon and stars to find my way.,output: [CHECK]: Survival
input:  [ACTION]: I use the position of the moon and stars to find my way.,output: [CHECK]: Survival
input:  [ACTION]: I try to swim across the powerful current.,output: [CHECK]: Athletics
input:  [ACTION]: I try to swim across the powerful current.,output: [CHECK]: Athletics
input:  [ACTION]: I try to distribute my weight to avoid the squeaky board.,output: [CHECK]: Stealth
input:  [ACTION]: I try to distribute my weight to avoid the squeaky board.,output: [CHECK]: Stealth
input:  [ACTION]: I try to cast a 'Calm Emotions' spell on the creature.,output: [CHECK]: Arcana
input:  [ACTION]: I try to cast a 'Calm Emotions' spell on the creature.,output: [CHECK]: Arcana
input:  [ACTION]: I use my faith and fortitude to fight off the illness.,output: [CHECK]: Constitution
input:  [ACTION]: I use my faith and fortitude to fight off the illness.,output: [CHECK]: Constitution
input:  [ACTION]: I watch their formations and discipline.,output: [CHECK]: Insight
input:  [ACTION]: I watch their formations and discipline.,output: [CHECK]: Insight
input:  [ACTION]: I use my knowledge of animals to train the dog.,output: [CHECK]: Animal Handling
input:  [ACTION]: I use my knowledge of animals to train the dog.,output: [CHECK]: Animal Handling
input:  [ACTION]: I try to make sense of the confusing legal language.,output: [CHECK]: Intelligence
input:  [ACTION]: I try to make sense of the confusing legal language.,output: [CHECK]: Intelligence
input:  [ACTION]: I use my forgery kit to copy the signature.,output: [CHECK]: Forgery Kit
input:  [ACTION]: I use my forgery kit to copy the signature.,output: [CHECK]: Forgery Kit
input:  [ACTION]: I use my magical knowledge to analyze the orb.,output: [CHECK]: Investigation
input:  [ACTION]: I use my magical knowledge to analyze the orb.,output: [CHECK]: Investigation
input:  [ACTION]: I try to give them a reason to hope again.,output: [CHECK]: Persuasion
input:  [ACTION]: I try to give them a reason to hope again.,output: [CHECK]: Persuasion
"input:  [ACTION]: I look for clues to their passage, like a dropped coin or a fresh footprint.",output: [CHECK]: Survival
"input:  [ACTION]: I look for clues to their passage, like a dropped coin or a fresh footprint.",output: [CHECK]: Survival
input:  [ACTION]: I try to follow the river upstream to its source.,output: [CHECK]: Nature
input:  [ACTION]: I try to follow the river upstream to its source.,output: [CHECK]: Nature
input:  [ACTION]: I apply my military discipline to follow the apple pie recipe exactly.,output: [CHECK]: Cook's Utensils
input:  [ACTION]: I apply my military discipline to follow the apple pie recipe exactly.,output: [CHECK]: Cook's Utensils
input:  [ACTION]: I try to cross the massive expanse of the floor by navigating the furniture.,output: [CHECK]: Acrobatics
input:  [ACTION]: I try to cross the massive expanse of the floor by navigating the furniture.,output: [CHECK]: Acrobatics
input:  [ACTION]: I try to predict the library's organizational pattern based on arcane principles.,output: [CHECK]: Arcana
input:  [ACTION]: I try to predict the library's organizational pattern based on arcane principles.,output: [CHECK]: Arcana
input:  [ACTION]: I use my knowledge of religious law to find a just and impartial solution.,output: [CHECK]: Religion
input:  [ACTION]: I use my knowledge of religious law to find a just and impartial solution.,output: [CHECK]: Religion
input:  [ACTION]: I try to make a sharp turn to lose my pursuers in a dense forest.,output: [CHECK]: Animal Handling
input:  [ACTION]: I try to make a sharp turn to lose my pursuers in a dense forest.,output: [CHECK]: Animal Handling
input:  [ACTION]: I examine the water and surrounding area for signs of contamination.,output: [CHECK]: Survival
input:  [ACTION]: I examine the water and surrounding area for signs of contamination.,output: [CHECK]: Survival
input:  [ACTION]: I try to goad them into attacking first.,output: [CHECK]: Deception
input:  [ACTION]: I try to goad them into attacking first.,output: [CHECK]: Deception
input:  [ACTION]: I appeal to our old friendship to convince him to look the other way.,output: [CHECK]: Persuasion
input:  [ACTION]: I appeal to our old friendship to convince him to look the other way.,output: [CHECK]: Persuasion
input:  [ACTION]: I try to find the mechanism that is causing the sand to pour in.,output: [CHECK]: Investigation
input:  [ACTION]: I try to find the mechanism that is causing the sand to pour in.,output: [CHECK]: Investigation
input:  [ACTION]: I try to speak with the spirits of the house to learn their story.,output: [CHECK]: History
input:  [ACTION]: I try to speak with the spirits of the house to learn their story.,output: [CHECK]: History
input:  [ACTION]: I use my strength to brace the door.,output: [CHECK]: Athletics
input:  [ACTION]: I use my strength to brace the door.,output: [CHECK]: Athletics
input:  [ACTION]: I use my knowledge of medicine to treat the bite.,output: [CHECK]: Medicine
input:  [ACTION]: I use my knowledge of medicine to treat the bite.,output: [CHECK]: Medicine
input:  [ACTION]: I try to decipher the symbols on the map.,output: [CHECK]: Intelligence
input:  [ACTION]: I try to decipher the symbols on the map.,output: [CHECK]: Intelligence
input:  [ACTION]: I carefully inspect the lock and seams for any signs of a trap mechanism.,output: [CHECK]: Investigation
input:  [ACTION]: I carefully inspect the lock and seams for any signs of a trap mechanism.,output: [CHECK]: Investigation
input:  [ACTION]: I use a delicate mending spell to repair the page.,output: [CHECK]: Sleight of Hand
input:  [ACTION]: I use a delicate mending spell to repair the page.,output: [CHECK]: Sleight of Hand
input:  [ACTION]: I use my divine magic to create a protective barrier.,output: [CHECK]: Religion
input:  [ACTION]: I use my divine magic to create a protective barrier.,output: [CHECK]: Religion
input:  [ACTION]: I stare him down without saying a word.,output: [CHECK]: Intimidation
input:  [ACTION]: I stare him down without saying a word.,output: [CHECK]: Intimidation
input:  [ACTION]: I listen to the bird's song and try to identify it.,output: [CHECK]: Nature
