input:  [ACTION]: player_input [CHECK]: check_required [PASS/FAIL]: outcome_type,output: [OUTCOME]: outcome_description
input:  [ACTION]: I use my religious knowledge to narrow down the search. [CHECK]: Religion [PASS/FAIL]: Fail,"output: [OUTCOME]: The library is a chaotic mess, with books from a hundred different faiths and sects all mixed together. Your specialized knowledge is of no use here."
input:  [ACTION]: I look for the familiar constellation to find my way. [CHECK]: Survival [PASS/FAIL]: Pass,"output: [OUTCOME]: The night is clear, and you easily spot the North Star, allowing you to determine which way is north and get your bearings."
input:  [ACTION]: I look for the familiar constellation to find my way. [CHECK]: Survival [PASS/FAIL]: Fail,"output: [OUTCOME]: The sky is overcast, and you cannot see the stars. You have no way of knowing which direction is which."
input:  [ACTION]: I display a dark magical feat and speak in cryptic verses. [CHECK]: Deception [PASS/FAIL]: Pass,"output: [OUTCOME]: Your display of power and your strange, prophetic words are enough to convince the cultists. They kneel before you, believing you to be a chosen one."
input:  [ACTION]: I display a dark magical feat and speak in cryptic verses. [CHECK]: Deception [PASS/FAIL]: Fail,"output: [OUTCOME]: Your magic is impressive, but your knowledge of their dogma is flawed. The cult's high priest denounces you as a heretic and an impostor."
input:  [ACTION]: I try to gauge their loyalty and morale. [CHECK]: Insight [PASS/FAIL]: Pass,"output: [OUTCOME]: You see in the soldier's eyes not fanaticism, but fear and doubt. Their loyalty is to their comrades, not their king. They can be turned."
input:  [ACTION]: I try to gauge their loyalty and morale. [CHECK]: Insight [PASS/FAIL]: Fail,output: [OUTCOME]: The soldier is a true believer in their cause. You see nothing but unwavering loyalty in their eyes. They will never betray their kingdom.
input:  [ACTION]: I attempt to summon a localized rain shower over the fire. [CHECK]: Nature [PASS/FAIL]: Pass,"output: [OUTCOME]: You gather the moisture in the air and are able to create a small, intense rain shower that douses the flames."
input:  [ACTION]: I attempt to summon a localized rain shower over the fire. [CHECK]: Nature [PASS/FAIL]: Fail,"output: [OUTCOME]: You are unable to gather enough moisture from the hot, dry air. Your spell produces only a weak, misty drizzle that does nothing to stop the fire."
input:  [ACTION]: I try to achieve the necessary speed and precision. [CHECK]: Sleight of Hand [PASS/FAIL]: Pass,"output: [OUTCOME]: Your hand is a blur. The chopsticks snap together, and you have caught the fly by its wings, completely unharmed."
input:  [ACTION]: I try to achieve the necessary speed and precision. [CHECK]: Sleight of Hand [PASS/FAIL]: Fail,"output: [OUTCOME]: The fly is impossibly fast, and it easily evades your attempts to catch it, buzzing mockingly around your head."
input:  [ACTION]: I use my alchemist's supplies to create a powerful adhesive. [CHECK]: Alchemist's Supplies [PASS/FAIL]: Pass,"output: [OUTCOME]: You create a sovereign glue, a magical substance that can permanently bond any two objects together."
input:  [ACTION]: I use my alchemist's supplies to create a powerful adhesive. [CHECK]: Alchemist's Supplies [PASS/FAIL]: Fail,"output: [OUTCOME]: You create an incredibly effective solvent instead. The beaker you were using to mix it dissolves, and the contents spill all over your work table."
input:  [ACTION]: I try to shatter it with a divinely empowered strike. [CHECK]: Athletics [PASS/FAIL]: Pass,output: [OUTCOME]: You channel your divine might into your weapon. The resulting blow is so powerful that it shatters the magical chain into a thousand pieces.
input:  [ACTION]: I try to shatter it with a divinely empowered strike. [CHECK]: Athletics [PASS/FAIL]: Fail,"output: [OUTCOME]: The chain is made of a strange, magic-resistant metal. Your divinely empowered strike does nothing but create a few sparks."
"input:  [ACTION]: I subtly feed misinformation to one side, pretending to be their ally, to manipulate them into a truce. [CHECK]: Deception [PASS/FAIL]: Pass","output: [OUTCOME]: They take the bait completely, believing your fabricated intelligence. Their strategic position now seems weaker, and they agree to the truce."
"input:  [ACTION]: I subtly feed misinformation to one side, pretending to be their ally, to manipulate them into a truce. [CHECK]: Deception [PASS/FAIL]: Fail",output: [OUTCOME]: The faction leader is a shrewd tactician and sees a flaw in your 'intelligence.' They realize you are playing them and become hostile to both you and the other side.
input:  [ACTION]: I try to recall accounts of their previous duels to find a weakness in their fighting style. [CHECK]: History [PASS/FAIL]: Pass,output: [OUTCOME]: You remember reading that the knight always relies on a powerful opening lunge but has poor footing when forced to backpedal. You know how to counter them.
input:  [ACTION]: I try to recall accounts of their previous duels to find a weakness in their fighting style. [CHECK]: History [PASS/FAIL]: Fail,"output: [OUTCOME]: The knight's legend is great, but the actual details of their fights are scarce and contradictory. You have no tactical information to go on."
input:  [ACTION]: I try to reshape the dreamscape to my advantage by imagining a weapon into existence. [CHECK]: Charisma [PASS/FAIL]: Pass,"output: [OUTCOME]: You focus your will, and the dream-stuff coalesces into a shimmering sword of pure energy in your hand. The dreamscape is subject to your imagination."
input:  [ACTION]: I try to reshape the dreamscape to my advantage by imagining a weapon into existence. [CHECK]: Charisma [PASS/FAIL]: Fail,"output: [OUTCOME]: Your grip on the dream is too weak. You try to imagine a sword, but it appears as a limp, useless noodle. The dreamer's subconscious is stronger than yours."
input:  [ACTION]: I try to comfort the ghost by listening to its story with empathetic silence. [CHECK]: Insight [PASS/FAIL]: Pass,"output: [OUTCOME]: You sit in silence, providing a calm, non-judgmental presence. The ghost, sensing your empathy, finally unburdens its centuries of sorrow and finds peace."
input:  [ACTION]: I try to comfort the ghost by listening to its story with empathetic silence. [CHECK]: Insight [PASS/FAIL]: Fail,"output: [OUTCOME]: Your silence is seen not as empathy, but as cold indifference. The ghost becomes agitated and hostile, its sorrow turning to rage."
input:  [ACTION]: I try to build a net-launcher to catch the specific book I need. [CHECK]: Tinker's Tools [PASS/FAIL]: Pass,"output: [OUTCOME]: You quickly assemble a spring-loaded device that launches a weighted net. You take aim and fire, neatly capturing the flying tome."
input:  [ACTION]: I try to build a net-launcher to catch the specific book I need. [CHECK]: Tinker's Tools [PASS/FAIL]: Fail,"output: [OUTCOME]: Your device is too powerful. It launches the net with such force that it slams the book against the far wall, damaging its delicate spine."
input:  [ACTION]: I search their old bedroom for clues to their motivations or weaknesses. [CHECK]: Investigation [PASS/FAIL]: Pass,"output: [OUTCOME]: You find a worn teddy bear with a hidden locket containing a picture of their parents, hinting that a past tragedy is the source of their evil."
input:  [ACTION]: I search their old bedroom for clues to their motivations or weaknesses. [CHECK]: Investigation [PASS/FAIL]: Fail,"output: [OUTCOME]: The room is sterile and empty, cleaned of all personal effects long ago. The villain's past remains a closed book."
input:  [ACTION]: I use my loaded dice to cheat. [CHECK]: Dice Set [PASS/FAIL]: Pass,"output: [OUTCOME]: The ghost, bound by the rules of the game it created, does not notice your cheating. You easily win the high-stakes game."
input:  [ACTION]: I use my loaded dice to cheat. [CHECK]: Dice Set [PASS/FAIL]: Fail,output: [OUTCOME]: The dice pass right through the ghost's spectral hand. It seems mortal cheating has no effect on the ethereal plane. You are forced to play fairly.
input:  [ACTION]: I try to determine if the recent 'earthquakes' are the turtle waking up. [CHECK]: Nature [PASS/FAIL]: Pass,"output: [OUTCOME]: You place your hand on the ground and can feel a slow, rhythmic vibration, like a massive heart beating faster. The turtle is definitely stirring."
input:  [ACTION]: I try to determine if the recent 'earthquakes' are the turtle waking up. [CHECK]: Nature [PASS/FAIL]: Fail,output: [OUTCOME]: The tremors feel like normal geological activity. You can't sense any sign of life from the great creature beneath your feet.
input:  [ACTION]: I try to read a book by calming my mind and attuning to its resonant frequency. [CHECK]: Arcana [PASS/FAIL]: Pass,"output: [OUTCOME]: You focus your mind, and the swirling patterns in the crystal resolve into legible text. You are able to read the strange, crystalline book."
input:  [ACTION]: I try to read a book by calming my mind and attuning to its resonant frequency. [CHECK]: Arcana [PASS/FAIL]: Fail,"output: [OUTCOME]: The crystal's frequency is too chaotic. Trying to read it gives you a splitting headache and fills your mind with confusing, discordant images."
input:  [ACTION]: I offer to perform a song in the baker's shop for a day to pay for the stolen bread. [CHECK]: Performance [PASS/FAIL]: Pass,"output: [OUTCOME]: The baker, intrigued by your offer and seeing a way to attract more customers, agrees. The situation is defused, and the orphan gets to eat."
input:  [ACTION]: I offer to perform a song in the baker's shop for a day to pay for the stolen bread. [CHECK]: Performance [PASS/FAIL]: Fail,"output: [OUTCOME]: The baker is too angry to listen to your novel proposal. 'I want justice, not a concert!' he shouts, calling for the city watch."
input:  [ACTION]: I try to restore their faith by debating theology with them. [CHECK]: Religion [PASS/FAIL]: Pass,"output: [OUTCOME]: You engage them in a deep, compassionate theological discussion. You don't have all the answers, but your unwavering faith helps them find their own again."
input:  [ACTION]: I try to restore their faith by debating theology with them. [CHECK]: Religion [PASS/FAIL]: Fail,output: [OUTCOME]: Your dogmatic answers and theological platitudes ring hollow in the face of their very real pain. Your words only push them further away from their faith.
input:  [ACTION]: I use my knowledge of supernatural creatures to identify the tracks. [CHECK]: Survival [PASS/FAIL]: Pass,"output: [OUTCOME]: You recognize the tracks from an old legend. They belong to a Hell Hound, a creature from the infernal planes."
input:  [ACTION]: I use my knowledge of supernatural creatures to identify the tracks. [CHECK]: Survival [PASS/FAIL]: Fail,output: [OUTCOME]: The tracks are completely unnatural. You have no idea what kind of creature could leave a trail of fire in its wake.
input:  [ACTION]: I try to purchase the memory of a secret password from a vendor. [CHECK]: Deception [PASS/FAIL]: Pass,"output: [OUTCOME]: You offer a trivial, happy memory of a childhood pet. The vendor, thinking it is a memory of a powerful magical beast, accepts the trade. You have your password."
input:  [ACTION]: I try to purchase the memory of a secret password from a vendor. [CHECK]: Deception [PASS/FAIL]: Fail,"output: [OUTCOME]: The memory vendor is a powerful telepath. It senses the true, trivial nature of the memory you are offering and refuses the trade, calling you a cheapskate."
"input:  [ACTION]: I approach it slowly, with an offering of food and no sudden movements. [CHECK]: Animal Handling [PASS/FAIL]: Pass","output: [OUTCOME]: The eagle, sensing you are not a threat, cautiously accepts your offering. It allows you to get close, a sign of trust."
"input:  [ACTION]: I approach it slowly, with an offering of food and no sudden movements. [CHECK]: Animal Handling [PASS/FAIL]: Fail","output: [OUTCOME]: You get too close, too fast. The eagle sees you as a predator, lets out a piercing shriek, and flies away."
input:  [ACTION]: I try to mimic the form with perfect muscle memory. [CHECK]: Sleight of Hand [PASS/FAIL]: Pass,"output: [OUTCOME]: Your body is a perfect instrument. You flawlessly replicate the complex and beautiful martial arts form, earning an impressed nod from the master."
input:  [ACTION]: I try to mimic the form with perfect muscle memory. [CHECK]: Sleight of Hand [PASS/FAIL]: Fail,"output: [OUTCOME]: You get the broad strokes of the form right, but you miss a few of the subtle, crucial details. The master shakes their head. 'You have much to learn.'"
input:  [ACTION]: I appeal to her by showing my deep connection to the forest. [CHECK]: Nature [PASS/FAIL]: Pass,"output: [OUTCOME]: You cause a flower to bloom in your hand. The dryad, recognizing you as a true friend of the forest, agrees to help you."
input:  [ACTION]: I appeal to her by showing my deep connection to the forest. [CHECK]: Nature [PASS/FAIL]: Fail,"output: [OUTCOME]: Your connection to the forest is strong, but the dryad sees all outsiders, even other druids, as a potential threat. She refuses to help you."
input:  [ACTION]: I offer them a chance at a new life and a clean slate in exchange for the information. [CHECK]: Persuasion [PASS/FAIL]: Pass,"output: [OUTCOME]: The spy, who expected to be tortured and executed, is shocked by your offer. Seeing a way out of their dangerous life, they agree to tell you everything."
input:  [ACTION]: I offer them a chance at a new life and a clean slate in exchange for the information. [CHECK]: Persuasion [PASS/FAIL]: Fail,"output: [OUTCOME]: The spy is too loyal to their cause. They see your offer as a trick and refuse to cooperate, choosing death before dishonor."
input:  [ACTION]: I study the terrain and my knowledge of their general's favorite tactics. [CHECK]: History [PASS/FAIL]: Pass,output: [OUTCOME]: You realize the enemy general always uses the same flanking maneuver when faced with this type of terrain. You are able to prepare a devastating counter-attack.
input:  [ACTION]: I study the terrain and my knowledge of their general's favorite tactics. [CHECK]: History [PASS/FAIL]: Fail,output: [OUTCOME]: The enemy general is a brilliant and unpredictable tactician who has never used the same strategy twice. You have no idea what they are planning.
input:  [ACTION]: I try to turn the wooden bar to ash with my fire magic. [CHECK]: Arcana [PASS/FAIL]: Pass,"output: [OUTCOME]: You focus a jet of intense, controlled flame on the wooden bar. It turns to ash in seconds, and the way is clear."
input:  [ACTION]: I try to turn the wooden bar to ash with my fire magic. [CHECK]: Arcana [PASS/FAIL]: Fail,"output: [OUTCOME]: Your fire magic erupts uncontrollably, not only burning the bar but also setting the entire door and the wall around it ablaze."
input:  [ACTION]: I use my discipline to slow my heart and detect any poison in a small bite. [CHECK]: Constitution [PASS/FAIL]: Pass,output: [OUTCOME]: You take a tiny bite and immediately detect the bitter taste and the slight numbing effect of Nightshade poison. You spit it out before it can harm you.
input:  [ACTION]: I take a tiny bite and detect any poison with my discipline. [CHECK]: Constitution [PASS/FAIL]: Fail,"output: [OUTCOME]: The poison is tasteless, odorless, and fast-acting. By the time you realize it's poisoned, it's already too late, and you feel the effects beginning to take hold."
input:  [ACTION]: I try to hotwire the construct's arcane power core. [CHECK]: Tinker's Tools [PASS/FAIL]: Pass,"output: [OUTCOME]: You successfully bypass the ignition sequence. The construct's eyes glow to life, and its massive gears begin to turn. You are in control."
input:  [ACTION]: I try to hotwire the construct's arcane power core. [CHECK]: Tinker's Tools [PASS/FAIL]: Fail,"output: [OUTCOME]: You cross the wrong wires. The power core shorts out with a massive flash, leaving the construct completely and permanently inert."
input:  [ACTION]: I use my sheer strength and righteous fury to hold up the ceiling. [CHECK]: Athletics [PASS/FAIL]: Pass,"output: [OUTCOME]: With a prayer on your lips, you hold the crushing weight of the ceiling, your muscles screaming in protest, but you do not buckle. The last of the villagers escapes."
input:  [ACTION]: I use my sheer strength and righteous fury to hold up the ceiling. [CHECK]: Athletics [PASS/FAIL]: Fail,"output: [OUTCOME]: The ceiling is too heavy. You are able to slow its collapse for a precious few seconds, but you are ultimately unable to stop it."
input:  [ACTION]: I try to create a diversion by cutting a merchant's purse so his coins spill everywhere. [CHECK]: Sleight of Hand [PASS/FAIL]: Pass,"output: [OUTCOME]: Your cut is perfect. The coins spill across the cobblestones, and in the ensuing chaos of people scrambling for the money, you make your escape."
input:  [ACTION]: I try to create a diversion by cutting a merchant's purse so his coins spill everywhere. [CHECK]: Sleight of Hand [PASS/FAIL]: Fail,"output: [OUTCOME]: The merchant feels the cut and immediately grabs your wrist. 'Thief!' he shouts, and now the entire bazaar is watching you."
input:  [ACTION]: I try to approach the seal without it noticing me. [CHECK]: Stealth [PASS/FAIL]: Pass,"output: [OUTCOME]: You move with surprising silence, using the contours of the ice to hide your approach. You are able to get close enough to strike."
input:  [ACTION]: I try to approach the seal without it noticing me. [CHECK]: Stealth [PASS/FAIL]: Fail,"output: [OUTCOME]: The ice crunches loudly under your weight. The seal is startled and immediately dives into the freezing water, gone in an instant."
input:  [ACTION]: I cast an identification spell on the metal. [CHECK]: Arcana [PASS/FAIL]: Pass,"output: [OUTCOME]: The spell is successful. The metal is 'Adamantine,' a rare and incredibly durable substance that is immune to critical hits."
input:  [ACTION]: I cast an identification spell on the metal. [CHECK]: Arcana [PASS/FAIL]: Fail,"output: [OUTCOME]: The metal is so magically dense that it resists your spell. The identification fails, telling you nothing."
input:  [ACTION]: I pretend to be a clueless provincial lord to get them to lower their guard. [CHECK]: Performance [PASS/FAIL]: Pass,"output: [OUTCOME]: Your portrayal of a bumbling fool is so convincing that the nobles openly mock you and, in the process, gossip freely, revealing the secrets you wanted to know."
input:  [ACTION]: I pretend to be a clueless provincial lord to get them to lower their guard. [CHECK]: Performance [PASS/FAIL]: Fail,"output: [OUTCOME]: Your accent is all wrong, and you don't know the proper etiquette. The nobles immediately recognize you as an impostor and have you thrown out."
input:  [ACTION]: I use my divine sense to detect the object's aura. [CHECK]: Religion [PASS/FAIL]: Pass,"output: [OUTCOME]: You feel a warm, gentle, and unmistakably holy aura coming from the relic. It is genuine, a true piece of your faith's history."
input:  [ACTION]: I use my divine sense to detect the object's aura. [CHECK]: Religion [PASS/FAIL]: Fail,"output: [OUTCOME]: The object feels... empty. There is no aura, holy or unholy. It is a well-made but mundane replica, a clever fake."
"input:  [ACTION]: I look for signs of its passage, like dropped feathers or claw marks on high branches. [CHECK]: Investigation [PASS/FAIL]: Pass","output: [OUTCOME]: You find a single, black feather caught on a high branch and notice a series of deep gouges on the cliff face. You know which way it went."
"input:  [ACTION]: I look for signs of its passage, like dropped feathers or claw marks on high branches. [CHECK]: Investigation [PASS/FAIL]: Fail","output: [OUTCOME]: The creature is a silent and careful hunter. It leaves no trace of its passage through the sky, and the trail is impossible to follow."
input:  [ACTION]: I try to trick the lock with a drop of my own magically-infused blood. [CHECK]: Deception [PASS/FAIL]: Pass,output: [OUTCOME]: Your pact has changed you. Your blood is now so infused with strange magic that it is able to fool the ancient blood-lock. The door opens.
input:  [ACTION]: I try to trick the lock with a drop of my own magically-infused blood. [CHECK]: Deception [PASS/FAIL]: Fail,"output: [OUTCOME]: The lock is keyed to a specific genetic and magical signature. Your blood is powerful, but it is not the correct key. The door remains sealed."
input:  [ACTION]: I survey the battlefield from the hilltop. [CHECK]: Insight [PASS/FAIL]: Pass,output: [OUTCOME]: You realize this position gives a clear line of sight to the enemy's weakest flank and is easily defensible. It is the key to winning the battle.
input:  [ACTION]: I survey the battlefield from the hilltop. [CHECK]: Insight [PASS/FAIL]: Fail,"output: [OUTCOME]: The hill provides a good view, but it is also exposed and offers no cover. Taking this position would be a tactical blunder."
"input:  [ACTION]: I forge a letter from one crime boss to the other, making it seem like a betrayal. [CHECK]: Forgery Kit [PASS/FAIL]: Pass","output: [OUTCOME]: Your forgery is perfect, down to the last detail of the handwriting and the wax seal. When the other crime boss receives it, they fly into a rage. The gang war has begun."
"input:  [ACTION]: I forge a letter from one crime boss to the other, making it seem like a betrayal. [CHECK]: Forgery Kit [PASS/FAIL]: Fail",output: [OUTCOME]: You make a small mistake in the forged signature. The crime boss recognizes it as a fake and realizes someone is trying to play them. They now both view you as a common enemy.
input:  [ACTION]: I try to analyze their strange style to find a weakness. [CHECK]: Investigation [PASS/FAIL]: Pass,"output: [OUTCOME]: Their style is wild and unpredictable, but you realize they always leave their left side exposed after a certain spinning attack. You have found your opening."
input:  [ACTION]: I try to analyze their strange style to find a weakness. [CHECK]: Investigation [PASS/FAIL]: Fail,"output: [OUTCOME]: Their fighting style is pure chaos. There is no pattern, no rhyme or reason to it. You are unable to predict their moves and are constantly on the defensive."
"input:  [ACTION]: I try to create a small, focused gust of wind. [CHECK]: Sleight of Hand [PASS/FAIL]: Pass","output: [OUTCOME]: A tiny, invisible gust of wind nudges the book, and it falls from the shelf into your waiting hands. No one is the wiser."
"input:  [ACTION]: I try to create a small, focused gust of wind. [CHECK]: Sleight of Hand [PASS/FAIL]: Fail","output: [OUTCOME]: Your control slips, and the small gust becomes a powerful blast of wind that sends every book on the shelf flying across the room."
input:  [ACTION]: I use my ki to regulate my body temperature. [CHECK]: Constitution [PASS/FAIL]: Pass,"output: [OUTCOME]: You focus your inner energy, and a warm glow spreads through your body, protecting you from the deadly cold of the blizzard."
input:  [ACTION]: I use my ki to regulate my body temperature. [CHECK]: Constitution [PASS/FAIL]: Fail,"output: [OUTCOME]: The blizzard is too powerful. It saps your strength and your ki, and the deadly cold begins to creep into your bones."
input:  [ACTION]: I use my knowledge of stonework and history to understand the runes. [CHECK]: History [PASS/FAIL]: Pass,"output: [OUTCOME]: You recognize the runes not as writing, but as a schematic for a complex water pump system used to drain a mine. The entire room is a set of instructions."
input:  [ACTION]: I use my knowledge of stonework and history to understand the runes. [CHECK]: History [PASS/FAIL]: Fail,output: [OUTCOME]: The runes are from an obscure clan of dwarves whose dialect is unknown to you. They are just meaningless markings on the wall.
input:  [ACTION]: I engage them in a theological discussion to prove my faith. [CHECK]: Religion [PASS/FAIL]: Pass,output: [OUTCOME]: Your knowledge of the holy texts and your unwavering faith are impressive. The high priest recognizes you as a true champion of the faith and offers their full support.
input:  [ACTION]: I engage them in a theological discussion to prove my faith. [CHECK]: Religion [PASS/FAIL]: Fail,"output: [OUTCOME]: The high priest is a stuffy academic who cares more about dogma than true faith. They see your practical, battle-worn faith as simplistic and heretical."
input:  [ACTION]: I use my tactical knowledge to identify the best choke point to make our stand. [CHECK]: Investigation [PASS/FAIL]: Pass,"output: [OUTCOME]: You identify a narrow section between two boulders that will force the goblins into a single-file line, neutralizing their numerical advantage."
input:  [ACTION]: I use my tactical knowledge to identify the best choke point to make our stand. [CHECK]: Investigation [PASS/FAIL]: Fail,output: [OUTCOME]: The pass is a chaotic jumble of rocks; there is no single ideal spot to make a stand. You'll have to rely on pure strength of arms.
input:  [ACTION]: I toss a small stone onto a nearby tile to see if it triggers a trap. [CHECK]: Sleight of Hand [PASS/FAIL]: Pass,"output: [OUTCOME]: You flick the stone perfectly. It lands on the tile, which immediately shoots a jet of fire towards the ceiling. You've identified a trapped square."
input:  [ACTION]: I toss a small stone onto a nearby tile to see if it triggers a trap. [CHECK]: Sleight of Hand [PASS/FAIL]: Fail,"output: [OUTCOME]: Your toss is clumsy. The stone bounces off the intended tile and lands on the one next to it, giving you no information about the square you were testing."
input:  [ACTION]: I try to commit the path's correct sequence to memory before it changes again. [CHECK]: Intelligence [PASS/FAIL]: Pass,"output: [OUTCOME]: You successfully memorize the pattern of the shifting trees: two left turns, a right, then straight. You know the way through, for now."
input:  [ACTION]: I try to commit the path's correct sequence to memory before it changes again. [CHECK]: Intelligence [PASS/FAIL]: Fail,output: [OUTCOME]: The shifting is too random and fast. You are unable to find any discernible pattern and are hopelessly lost in the magical woods.
input:  [ACTION]: I try to deliver a moving eulogy to honor their memory. [CHECK]: Performance [PASS/FAIL]: Pass,"output: [OUTCOME]: Your words are filled with genuine grief and respect. The other mourners are moved by your eulogy, which brings them a small measure of comfort."
input:  [ACTION]: I try to deliver a moving eulogy to honor their memory. [CHECK]: Performance [PASS/FAIL]: Fail,"output: [OUTCOME]: You are too overcome with your own grief to speak eloquently. You stumble over your words, unable to do your friend's memory justice."
input:  [ACTION]: I try to sharpen my sword with a whetstone at camp. [CHECK]: Smith's Tools [PASS/FAIL]: Pass,"output: [OUTCOME]: You have a practiced hand. You carefully sharpen the blade, restoring its keen, battle-ready edge."
input:  [ACTION]: I try to sharpen my sword with a whetstone at camp. [CHECK]: Smith's Tools [PASS/FAIL]: Fail,"output: [OUTCOME]: You apply the wrong angle with the whetstone, and the blade's edge becomes even more blunted and uneven. The weapon is now in worse shape."
"input:  [ACTION]: I look for signs of hidden springs, like patches of green vegetation. [CHECK]: Survival [PASS/FAIL]: Pass","output: [OUTCOME]: Your keen eyes spot a small, vibrant green patch of moss growing on the side of a cliff. You've found a hidden spring."
"input:  [ACTION]: I look for signs of hidden springs, like patches of green vegetation. [CHECK]: Survival [PASS/FAIL]: Fail",output: [OUTCOME]: The entire region is barren rock and dust. You search for hours but find no signs of water anywhere.
input:  [ACTION]: I try to break the chains binding my hands. [CHECK]: Athletics [PASS/FAIL]: Pass,"output: [OUTCOME]: With a roar of defiance, you flex your muscles, and the iron links of the chains strain and then snap apart. You are free."
input:  [ACTION]: I try to break the chains binding my hands. [CHECK]: Athletics [PASS/FAIL]: Fail,"output: [OUTCOME]: The chains were forged by master smiths. Despite your incredible strength, they hold firm, cutting into your wrists."
input:  [ACTION]: I try to examine the gem for any imperfections. [CHECK]: Investigation [PASS/FAIL]: Pass,"output: [OUTCOME]: You spot several tiny carbon flecks inside the gem, the tell-tale sign of a genuine, natural diamond. It's the real deal."
input:  [ACTION]: I try to examine the gem for any imperfections. [CHECK]: Investigation [PASS/FAIL]: Fail,"output: [OUTCOME]: The gem is completely flawless, which is suspicious. It's either the most perfect diamond in the world, or a very well-made glass fake. You can't be sure."
input:  [ACTION]: I use my knowledge of alchemy to brew the potion. [CHECK]: Alchemist's Supplies [PASS/FAIL]: Pass,"output: [OUTCOME]: You correctly mix the gillyweed and powdered fish scales, creating a potion that will grant you gills for one hour."
input:  [ACTION]: I use my knowledge of alchemy to brew the potion. [CHECK]: Alchemist's Supplies [PASS/FAIL]: Fail,output: [OUTCOME]: You add the ingredients in the wrong order. The resulting potion does not allow you to breathe underwater; it just makes you smell faintly of fish.
input:  [ACTION]: I use my divine sense to detect any evil or fiendish presence. [CHECK]: Insight [PASS/FAIL]: Pass,output: [OUTCOME]: The child is indeed a monster. Your divine sense recoils from the palpable aura of evil hiding behind the illusion.
input:  [ACTION]: I use my divine sense to detect any evil or fiendish presence. [CHECK]: Insight [PASS/FAIL]: Fail,"output: [OUTCOME]: Your divine sense detects nothing but the pure, innocent soul of a frightened child. This is no monster."
input:  [ACTION]: I look for a gap in their armor to strike at. [CHECK]: Perception [PASS/FAIL]: Pass,"output: [OUTCOME]: You spot a weak point at the joint between their gauntlet and vambrace. It's a small target, but a well-aimed strike there would be devastating."
input:  [ACTION]: I look for a gap in their armor to strike at. [CHECK]: Perception [PASS/FAIL]: Fail,output: [OUTCOME]: The armor is a masterwork of interlocking plates. There are no obvious gaps or weak points to exploit.
input:  [ACTION]: I use my knowledge of nature to identify the plant. [CHECK]: Nature [PASS/FAIL]: Pass,"output: [OUTCOME]: You recognize the distinctive cluster of bright red berries. This is Nightshade, a deadly poison."
input:  [ACTION]: I use my knowledge of nature to identify the plant. [CHECK]: Nature [PASS/FAIL]: Fail,output: [OUTCOME]: You've never seen a plant with berries like this before. They could be a delicious treat or a deadly poison; you have no way of knowing.
input:  [ACTION]: I snap a wooden spear in half over my knee to show my strength. [CHECK]: Intimidation [PASS/FAIL]: Pass,output: [OUTCOME]: The guards witness your casual display of incredible strength and decide that engaging you is not worth the risk. They lower their weapons and let you pass.
input:  [ACTION]: I snap a wooden spear in half over my knee to show my strength. [CHECK]: Intimidation [PASS/FAIL]: Fail,"output: [OUTCOME]: The guards are professionals who are not easily impressed by brute strength. They see your display not as a threat, but as a sign of aggression, and they ready their shields."
input:  [ACTION]: I watch for signs of deception in their body language. [CHECK]: Insight [PASS/FAIL]: Pass,output: [OUTCOME]: You notice the politician can't maintain eye contact and is sweating profusely. They are clearly lying.
input:  [ACTION]: I watch for signs of deception in their body language. [CHECK]: Insight [PASS/FAIL]: Fail,"output: [OUTCOME]: The politician is a master orator and a practiced liar. Their body language is confident and open, giving away no signs of deception."
input:  [ACTION]: I search my vast mental library for the name. [CHECK]: History [PASS/FAIL]: Pass,"output: [OUTCOME]: The name comes to you from a forbidden text you read long ago: 'Orcus, the Prince of Undeath.'"
input:  [ACTION]: I search my vast mental library for the name. [CHECK]: History [PASS/FAIL]: Fail,"output: [OUTCOME]: There are countless demon lords, and their names are often unpronounceable and maddening. You cannot recall this specific one."
input:  [ACTION]: I use my healing magic to neutralize the poison. [CHECK]: Medicine [PASS/FAIL]: Pass,"output: [OUTCOME]: You channel your divine energy, and it courses through the person's veins, neutralizing the poison and restoring them to health."
input:  [ACTION]: I use my healing magic to neutralize the poison. [CHECK]: Medicine [PASS/FAIL]: Fail,"output: [OUTCOME]: This is a magical poison that is resistant to your healing arts. Your spell soothes their pain, but it cannot remove the poison from their system."
input:  [ACTION]: I analyze their movements for weaknesses. [CHECK]: Insight [PASS/FAIL]: Pass,"output: [OUTCOME]: You notice they consistently overextend on their lunges, leaving them open for a quick counter-attack."
input:  [ACTION]: I analyze their movements for weaknesses. [CHECK]: Insight [PASS/FAIL]: Fail,"output: [OUTCOME]: Their technique is flawless. They are a master of their chosen fighting style, and you can't spot any openings or weaknesses to exploit."
input:  [ACTION]: I try to soothe the animal and show it there's no danger. [CHECK]: Animal Handling [PASS/FAIL]: Pass,"output: [OUTCOME]: You speak to your horse in a calm, reassuring voice. It trusts you, and its panic subsides."
input:  [ACTION]: I try to soothe the animal and show it there's no danger. [CHECK]: Animal Handling [PASS/FAIL]: Fail,"output: [OUTCOME]: The horse is too panicked to listen to you. It rears up and bolts, leaving you stranded."
input:  [ACTION]: I use my sheer endurance to withstand the cold. [CHECK]: Constitution [PASS/FAIL]: Pass,"output: [OUTCOME]: Your blood runs hot from a lifetime in the frozen north. The cold is uncomfortable, but you are able to endure it and survive the night."
